zip,hrr
00501,301
00544,301
01001,230
01002,230
01003,230
01004,230
01005,231
01007,230
01008,230
01009,230
01010,231
01011,295
01012,230
01013,230
01014,230
01020,230
01021,230
01022,230
01026,230
01027,230
01028,230
01029,230
01030,230
01031,230
01032,230
01033,230
01034,230
01035,230
01036,230
01037,230
01038,230
01039,230
01040,230
01041,230
01050,230
01053,230
01054,230
01056,230
01057,230
01059,230
01060,230
01061,230
01062,230
01063,230
01066,230
01068,231
01069,230
01070,230
01071,230
01072,230
01073,230
01074,231
01075,230
01077,230
01079,230
01080,230
01081,231
01082,230
01083,230
01084,230
01085,230
01086,230
01088,230
01089,230
01090,230
01092,230
01093,230
01094,230
01095,230
01096,230
01097,230
01098,230
01101,230
01102,230
01103,230
01104,230
01105,230
01106,230
01107,230
01108,230
01109,230
01111,230
01115,230
01116,230
01118,230
01119,230
01128,230
01129,230
01138,230
01139,230
01144,230
01151,230
01152,230
01199,230
01201,295
01202,295
01203,295
01220,230
01222,230
01223,295
01224,295
01225,295
01226,295
01227,295
01229,295
01230,230
01235,295
01236,230
01237,295
01238,295
01240,295
01242,295
01243,295
01244,230
01245,230
01247,230
01252,230
01253,230
01254,295
01255,230
01256,230
01257,230
01258,230
01259,230
01260,295
01262,295
01263,295
01264,295
01266,295
01267,230
01270,295
01301,230
01302,230
01330,230
01331,231
01337,230
01338,230
01339,230
01340,230
01341,230
01342,230
01343,230
01344,230
01346,230
01347,230
01349,230
01350,230
01351,230
01354,230
01355,231
01360,230
01364,231
01366,231
01367,230
01368,231
01370,230
01373,230
01375,230
01376,230
01378,231
01379,230
01380,230
01420,231
01430,231
01431,231
01432,227
01434,227
01436,231
01438,231
01440,231
01441,231
01450,227
01451,227
01452,231
01453,231
01460,227
01462,231
01463,227
01464,227
01467,227
01468,231
01469,227
01470,227
01471,227
01472,227
01473,231
01474,231
01475,231
01501,231
01503,231
01504,364
01505,231
01506,231
01507,231
01508,231
01509,231
01510,231
01515,231
01516,231
01518,231
01519,231
01520,231
01521,231
01522,231
01523,231
01524,231
01525,231
01526,231
01527,231
01529,364
01531,231
01532,231
01534,231
01535,231
01536,231
01537,231
01538,231
01540,231
01541,231
01542,231
01543,231
01545,231
01546,231
01550,231
01560,231
01561,231
01562,231
01564,231
01566,231
01568,231
01569,231
01570,231
01571,231
01581,231
01583,231
01585,230
01586,231
01588,231
01590,231
01601,231
01602,231
01603,231
01604,231
01605,231
01606,231
01607,231
01608,231
01609,231
01610,231
01611,231
01612,231
01613,231
01614,231
01615,231
01653,231
01655,231
01701,227
01702,227
01703,227
01704,227
01705,227
01718,227
01719,227
01720,227
01721,227
01730,227
01731,227
01740,231
01741,227
01742,227
01745,227
01746,227
01747,231
01748,227
01749,231
01752,231
01754,227
01756,231
01757,227
01760,227
01770,227
01772,227
01773,227
01775,227
01776,227
01778,227
01784,227
01801,227
01803,227
01805,227
01810,227
01812,227
01813,227
01815,227
01821,227
01822,227
01824,227
01826,227
01827,227
01830,227
01831,227
01832,227
01833,227
01834,227
01835,227
01840,227
01841,227
01842,227
01843,227
01844,227
01845,227
01850,227
01851,227
01852,227
01853,227
01854,227
01860,227
01862,227
01863,227
01864,227
01865,227
01866,227
01867,227
01876,227
01879,227
01880,227
01885,227
01886,227
01887,227
01888,227
01889,227
01890,227
01899,227
01901,227
01902,227
01903,227
01904,227
01905,227
01906,227
01907,227
01908,227
01910,227
01913,227
01915,227
01921,227
01922,227
01923,227
01929,227
01930,227
01931,227
01936,227
01937,227
01938,227
01940,227
01944,227
01945,227
01949,227
01950,227
01951,227
01952,227
01960,227
01961,227
01965,227
01966,227
01969,227
01970,227
01971,227
01982,227
01983,227
01984,227
01985,227
02018,227
02019,364
02020,227
02021,227
02025,227
02026,227
02027,227
02030,227
02032,227
02035,227
02038,227
02040,227
02041,227
02043,227
02044,227
02045,227
02047,227
02048,364
02050,227
02051,227
02052,227
02053,227
02054,227
02055,227
02056,227
02059,227
02060,227
02061,227
02062,227
02065,227
02066,227
02067,227
02070,227
02071,227
02072,227
02081,227
02090,227
02093,227
02108,227
02109,227
02110,227
02111,227
02112,227
02113,227
02114,227
02115,227
02116,227
02117,227
02118,227
02119,227
02120,227
02121,227
02122,227
02123,227
02124,227
02125,227
02126,227
02127,227
02128,227
02129,227
02130,227
02131,227
02132,227
02133,227
02134,227
02135,227
02136,227
02137,227
02138,227
02139,227
02140,227
02141,227
02142,227
02143,227
02144,227
02145,227
02148,227
02149,227
02150,227
02151,227
02152,227
02153,227
02155,227
02156,227
02163,227
02169,227
02170,227
02171,227
02176,227
02180,227
02184,227
02185,227
02186,227
02187,227
02188,227
02189,227
02190,227
02191,227
02196,227
02199,227
02201,227
02203,227
02204,227
02205,227
02206,227
02210,227
02211,227
02212,227
02215,227
02217,227
02222,227
02238,227
02241,227
02266,227
02269,227
02283,227
02284,227
02293,227
02297,227
02298,227
02301,227
02302,227
02303,227
02304,227
02305,227
02322,227
02324,227
02325,227
02327,227
02330,227
02331,227
02332,227
02333,227
02334,227
02337,227
02338,227
02339,227
02341,227
02343,227
02344,227
02345,227
02346,227
02347,227
02348,227
02349,227
02350,227
02351,227
02355,227
02356,227
02357,227
02358,227
02359,227
02360,227
02361,227
02362,227
02364,227
02366,227
02367,227
02368,227
02370,227
02375,227
02379,227
02381,227
02382,227
02420,227
02421,227
02445,227
02446,227
02447,227
02451,227
02452,227
02453,227
02454,227
02455,227
02456,227
02457,227
02458,227
02459,227
02460,227
02461,227
02462,227
02464,227
02465,227
02466,227
02467,227
02468,227
02471,227
02472,227
02474,227
02475,227
02476,227
02477,227
02478,227
02479,227
02481,227
02482,227
02492,227
02493,227
02494,227
02495,227
02532,227
02534,227
02535,227
02536,227
02537,227
02538,227
02539,227
02540,227
02541,227
02542,227
02543,227
02552,227
02553,227
02554,227
02556,227
02557,227
02558,227
02559,227
02561,227
02562,227
02563,227
02564,227
02568,227
02571,227
02574,227
02575,227
02576,227
02584,227
02601,227
02630,227
02631,227
02632,227
02633,227
02634,227
02635,227
02637,227
02638,227
02639,227
02641,227
02642,227
02643,227
02644,227
02645,227
02646,227
02647,227
02648,227
02649,227
02650,227
02651,227
02652,227
02653,227
02655,227
02657,227
02659,227
02660,227
02661,227
02662,227
02663,227
02664,227
02666,227
02667,227
02668,227
02669,227
02670,227
02671,227
02672,227
02673,227
02675,227
02702,227
02703,364
02712,364
02713,227
02714,227
02715,227
02717,227
02718,227
02719,227
02720,227
02721,227
02722,227
02723,227
02724,227
02725,227
02726,227
02738,227
02739,227
02740,227
02741,227
02742,227
02743,227
02744,227
02745,227
02746,227
02747,227
02748,227
02760,364
02761,364
02762,364
02763,364
02764,227
02766,364
02767,227
02768,227
02769,364
02770,227
02771,364
02777,227
02779,227
02780,227
02790,227
02791,227
02801,227
02802,364
02804,364
02806,364
02807,364
02808,364
02809,364
02812,364
02813,364
02814,364
02815,364
02816,364
02817,364
02818,364
02822,364
02823,364
02824,364
02825,364
02826,364
02827,364
02828,364
02829,364
02830,364
02831,364
02832,364
02833,364
02835,364
02836,364
02837,227
02838,364
02839,364
02840,364
02841,364
02842,364
02852,364
02857,364
02858,364
02859,364
02860,364
02861,364
02862,364
02863,364
02864,364
02865,364
02871,364
02872,364
02873,364
02874,364
02875,364
02876,364
02877,364
02878,227
02879,364
02880,364
02881,364
02882,364
02883,364
02885,364
02886,364
02887,364
02888,364
02889,364
02891,364
02892,364
02893,364
02894,364
02895,364
02896,364
02898,364
02901,364
02902,364
02903,364
02904,364
02905,364
02906,364
02907,364
02908,364
02909,364
02910,364
02911,364
02912,364
02914,364
02915,364
02916,364
02917,364
02918,364
02919,364
02920,364
02921,364
02940,364
03031,282
03032,282
03033,282
03034,282
03036,282
03037,282
03038,282
03040,282
03041,282
03042,282
03043,282
03044,282
03045,282
03046,282
03047,282
03048,282
03049,282
03051,282
03052,282
03053,282
03054,282
03055,282
03057,282
03060,282
03061,282
03062,282
03063,282
03064,282
03070,282
03071,282
03073,227
03076,227
03077,282
03079,227
03082,282
03084,282
03086,282
03087,282
03101,282
03102,282
03103,282
03104,282
03105,282
03106,282
03108,282
03109,282
03110,282
03111,282
03215,282
03216,281
03217,282
03218,282
03220,282
03221,281
03222,282
03223,282
03224,282
03225,282
03226,282
03227,282
03229,282
03230,281
03231,282
03233,281
03234,282
03235,282
03237,282
03238,281
03240,281
03241,282
03242,282
03243,282
03244,282
03245,282
03246,282
03247,282
03249,282
03251,281
03252,282
03253,282
03254,282
03255,281
03256,282
03257,281
03258,282
03259,282
03260,282
03261,282
03262,281
03263,282
03264,282
03266,282
03268,282
03269,282
03272,281
03273,282
03275,282
03276,282
03278,282
03279,281
03280,282
03281,282
03282,282
03284,281
03285,282
03287,281
03289,282
03290,222
03291,222
03293,281
03298,282
03299,282
03301,282
03302,282
03303,282
03304,282
03305,282
03307,282
03431,281
03435,281
03440,282
03441,281
03442,282
03443,281
03444,281
03445,281
03446,281
03447,281
03448,281
03449,282
03450,281
03451,281
03452,282
03455,281
03456,281
03457,281
03458,282
03461,282
03462,281
03464,281
03465,281
03466,281
03467,281
03468,282
03469,281
03470,281
03561,281
03570,281
03574,281
03575,281
03576,281
03579,281
03580,281
03581,281
03582,281
03583,281
03584,281
03585,281
03586,281
03588,281
03589,222
03590,281
03592,281
03593,281
03595,281
03597,281
03598,281
03601,281
03602,281
03603,281
03604,281
03605,281
03607,281
03608,281
03609,281
03740,281
03741,281
03743,281
03745,281
03746,281
03748,281
03749,281
03750,281
03751,281
03752,281
03753,281
03754,281
03755,281
03756,281
03765,281
03766,281
03768,281
03769,281
03770,281
03771,281
03773,281
03774,281
03777,281
03779,281
03780,281
03781,281
03782,281
03784,281
03785,281
03801,282
03802,282
03803,282
03804,222
03809,282
03810,282
03811,227
03812,222
03813,222
03814,282
03815,222
03816,282
03817,222
03818,222
03819,282
03820,222
03821,222
03822,222
03823,222
03824,222
03825,222
03826,227
03827,282
03830,282
03832,222
03833,282
03835,222
03836,282
03837,282
03838,222
03839,222
03840,282
03841,282
03842,282
03843,282
03844,282
03845,222
03846,222
03847,222
03848,282
03849,222
03850,282
03851,222
03852,222
03853,282
03854,282
03855,222
03856,282
03857,282
03858,282
03859,282
03860,222
03861,222
03862,282
03864,282
03865,227
03866,222
03867,222
03868,222
03869,222
03870,282
03871,282
03872,282
03873,282
03874,227
03875,222
03878,222
03882,282
03883,282
03884,222
03885,282
03886,282
03887,222
03890,282
03894,282
03896,282
03897,282
03901,222
03902,222
03903,222
03904,222
03905,222
03906,222
03907,222
03908,222
03909,222
03910,222
03911,222
04001,222
04002,222
04003,222
04004,222
04005,222
04006,222
04007,222
04008,222
04009,222
04010,222
04011,222
04013,222
04014,222
04015,222
04016,222
04017,222
04019,222
04020,222
04021,222
04022,222
04024,222
04027,222
04028,222
04029,222
04030,222
04032,222
04033,222
04034,222
04037,222
04038,222
04039,222
04040,222
04041,222
04042,222
04043,222
04046,222
04047,222
04048,222
04049,222
04050,222
04051,222
04054,222
04055,222
04056,222
04057,222
04061,222
04062,222
04063,222
04064,222
04066,222
04068,222
04069,222
04070,222
04071,222
04072,222
04073,222
04074,222
04076,222
04077,222
04078,222
04079,222
04082,222
04083,222
04084,222
04085,222
04086,222
04087,222
04088,222
04090,222
04091,222
04092,222
04093,222
04094,222
04095,222
04096,222
04097,222
04098,222
04101,222
04102,222
04103,222
04104,222
04105,222
04106,222
04107,222
04108,222
04109,222
04110,222
04112,222
04116,222
04122,222
04123,222
04124,222
04210,222
04211,222
04212,222
04216,222
04217,222
04219,222
04220,222
04221,222
04222,222
04223,222
04224,222
04225,222
04226,222
04227,222
04228,222
04230,222
04231,222
04234,222
04236,222
04237,222
04238,222
04239,222
04240,222
04241,222
04243,222
04250,222
04252,222
04253,222
04254,222
04255,222
04256,222
04257,222
04258,222
04259,222
04260,222
04261,222
04262,222
04263,222
04265,222
04266,222
04267,222
04268,222
04270,222
04271,222
04274,222
04275,222
04276,222
04280,222
04281,222
04282,222
04284,222
04285,222
04286,222
04287,222
04288,222
04289,222
04290,222
04291,222
04292,222
04294,222
04330,222
04332,222
04333,222
04336,222
04338,222
04341,222
04342,222
04343,222
04344,222
04345,222
04346,222
04347,222
04348,222
04349,222
04350,222
04351,222
04352,222
04353,222
04354,222
04355,222
04357,222
04358,222
04359,222
04360,222
04363,222
04364,222
04401,221
04402,221
04406,221
04408,221
04410,221
04411,221
04412,221
04413,221
04414,221
04415,221
04416,221
04417,221
04418,221
04419,221
04420,221
04421,221
04422,221
04424,221
04426,221
04427,221
04428,221
04429,221
04430,221
04431,221
04434,221
04435,221
04438,221
04441,221
04442,221
04443,221
04444,221
04448,221
04449,221
04450,221
04451,221
04453,221
04454,221
04455,221
04456,221
04457,221
04459,221
04460,221
04461,221
04462,221
04463,221
04464,221
04468,221
04469,221
04471,221
04472,221
04473,221
04474,221
04475,221
04476,221
04478,221
04479,221
04481,221
04485,221
04487,221
04488,221
04489,221
04490,221
04491,221
04492,221
04493,221
04495,221
04496,221
04497,221
04530,222
04535,222
04537,222
04538,222
04539,222
04541,222
04543,222
04544,222
04547,222
04548,222
04549,222
04551,222
04553,222
04554,222
04555,222
04556,222
04558,222
04562,222
04563,222
04564,222
04565,222
04568,222
04570,222
04571,222
04572,222
04573,222
04574,222
04575,222
04576,222
04578,222
04579,222
04605,221
04606,221
04607,221
04609,221
04611,221
04612,221
04613,221
04614,221
04616,221
04617,221
04619,221
04622,221
04623,221
04624,221
04625,221
04626,221
04627,221
04628,221
04629,221
04630,221
04631,221
04634,221
04635,221
04637,221
04640,221
04642,221
04643,221
04644,221
04645,221
04646,221
04648,221
04649,221
04650,221
04652,221
04653,221
04654,221
04655,221
04657,221
04658,221
04660,221
04662,221
04664,221
04666,221
04667,221
04668,221
04669,221
04671,221
04672,221
04673,221
04674,221
04675,221
04676,221
04677,221
04679,221
04680,221
04681,221
04683,221
04684,221
04685,221
04686,221
04691,221
04693,221
04694,221
04730,221
04732,221
04733,221
04734,221
