zip,pop
00601,18570
00602,41520
00603,54689
00606,6614
00610,29016
00612,67010
00616,11016
00617,24597
00622,7852
00623,43061
00624,26241
00627,35159
00631,1851
00637,25286
00638,18941
00641,31190
00646,38199
00647,6171
00650,14997
00652,4714
00653,13307
00656,21481
00659,41953
00660,17250
00662,43282
00664,16783
00667,25967
00669,29744
00670,9807
00674,44456
00676,40316
00677,15271
00678,27819
00680,58140
00682,32614
00683,33772
00685,42830
00687,32610
00688,13542
00690,6255
00692,37511
00693,61038
00694,327
00698,41782
00703,28605
00704,8576
00705,25597
00707,12225
00714,19566
00715,3655
00716,33778
00717,18456
00718,26606
00719,30989
00720,23128
00723,19277
00725,89373
00727,58382
00728,44907
00729,53750
00730,35741
00731,15524
00735,13729
00736,51532
00738,34922
00739,39678
00740,2070
00741,4970
00745,55062
00751,23129
00754,40828
00757,23263
00765,9098
00766,26488
00767,38019
00769,40247
00771,38394
00772,23105
00773,20068
00775,1786
00777,40683
00778,45429
00780,13799
00782,19304
00783,36557
00784,44637
00786,356
00791,53417
00794,30584
00795,48736
00901,7079
00906,4
00907,17457
00909,6229
00911,8622
00912,6800
00913,9311
00915,32819
00917,21052
00918,18055
00920,17893
00921,37762
00923,29085
00924,56690
00925,8695
00926,108861
00927,14935
00934,287
00936,680
00949,82278
00950,8
00951,34
00952,10007
00953,73014
00956,79304
00957,45679
00959,50559
00960,1778
00961,32428
00962,22491
00965,9133
00966,16675
00968,3477
00969,42218
00971,30985
00976,65135
00979,17029
00982,16427
00983,39233
00985,36552
00987,63661
01001,16873
01002,29544
01003,10552
01005,5282
01007,14903
01008,1270
01009,745
01010,3631
01011,1380
01012,672
01013,23332
01020,29852
01022,2466
01026,962
01027,17967
01028,15817
01029,751
01030,11741
01031,1360
01032,579
01033,6335
01034,2033
01035,5341
01036,5140
01037,871
01038,2589
01039,1352
01040,40127
01050,2570
01053,1714
01054,1820
01056,21234
01057,8587
01060,15549
01062,11343
01063,437
01066,65
01068,1978
01069,8521
01070,639
01071,1605
01072,1453
01073,5892
01074,331
01075,17831
01077,9561
01079,696
01080,2348
01081,1708
01082,10511
01083,3003
01084,179
01085,41372
01086,691
01088,681
01089,28567
01092,1449
01093,319
01094,365
01095,14408
01096,2255
01097,111
01098,1120
01103,2494
01104,23007
01105,12426
01106,16120
01107,11683
01108,26853
01109,30438
01118,14158
01119,14239
01128,2647
01129,7062
01151,8752
01201,44280
01220,8191
01222,789
01223,2203
01224,173
01225,2967
01226,6612
01229,90
01230,8026
01235,2633
01236,1436
01237,2376
01238,5757
01240,4317
01242,453
01243,339
01244,143
01245,937
01247,15317
01253,696
01254,925
01255,871
01256,658
01257,2019
01258,356
01259,604
01260,228
01262,1178
01264,130
01266,1393
01267,7606
01270,740
01301,17404
01330,1480
01331,13795
01337,2552
01338,183
01339,1413
01340,1672
01341,1802
01342,1467
01343,71
01344,1472
01346,524
01347,163
01349,1072
01350,118
01351,2232
01354,1474
01355,863
01360,2981
01364,7835
01366,1328
01367,513
01368,1311
01370,4015
01373,4523
01375,3622
01376,5159
01378,761
01379,799
01420,41956
01430,6333
01431,3296
01432,7601
01434,1877
01436,3469
01438,581
01440,21164
01450,11415
01451,4937
01452,4557
01453,42524
01460,9568
01462,10491
01463,12327
01464,7732
01467,328
01468,4182
01469,7292
01473,7569
01474,2278
01475,10682
01501,16720
01503,2981
01504,9388
01505,4529
01506,3526
01507,13502
01510,14152
01515,2270
01516,8841
01518,3093
01519,6859
01520,14559
01521,2496
01522,3442
01523,7886
01524,6964
01525,301
01527,13777
01529,3318
01531,1039
01532,14723
01534,5857
01535,4867
01536,7164
01537,2338
01540,11744
01541,3550
01542,2290
01543,8293
01545,36716
01550,17390
01560,4708
01561,343
01562,12157
01564,8121
01566,6546
01568,7780
01569,14113
