fips,chng-fips
01000,01000
01001,01001
01003,01003
01005,01005
01007,01007
01009,01009
01011,01011
01013,01013
01015,01015
01017,01017
01019,01019
01021,01021
01023,01023
01025,01025
01027,01027
01029,01029
01031,01031
01033,01033
01035,01035
01037,01037
01039,01039
01041,01041
01043,01043
01045,01045
01047,01g02
01049,01049
01051,01051
01053,01053
01055,01055
01057,01057
01059,01059
01061,01061
01063,01g01
01065,01g01
01067,01067
01069,01069
01071,01071
01073,01073
01075,01075
01077,01077
01079,01079
01081,01081
01083,01083
01085,01085
01087,01087
01089,01089
01091,01091
01093,01093
01095,01095
01097,01097
01099,01099
01101,01101
01103,01103
01105,01g02
01107,01107
01109,01109
01111,01111
01113,01113
01115,01115
01117,01117
01119,01119
01121,01121
01123,01123
01125,01125
01127,01127
01129,01129
01131,01131
01133,01133
02000,02000
02013,02013
02016,02016
02020,02020
02050,02050
02060,02060
02063,02063
02066,02066
02068,02068
02070,02070
02090,02090
02100,02100
02105,02105
02110,02110
02122,02122
02130,02130
02150,02150
02158,02158
02164,02164
02170,02170
02180,02180
02185,02185
02188,02188
02195,02195
02198,02198
02220,02220
02230,02230
02240,02240
02275,02275
02282,02282
02290,02290
04000,04000
04001,04001
04003,04003
04005,04005
04007,04007
04009,04g01
04011,04g01
04012,04012
04013,04013
04015,04015
04017,04017
04019,04019
04021,04021
04023,04023
04025,04025
04027,04027
05000,05000
05001,05001
05003,05003
05005,05005
05007,05007
05009,05g08
05011,05g01
05013,05g01
05015,05015
05017,05017
05019,05019
05021,05021
05023,05023
05025,05g01
05027,05027
05029,05029
05031,05031
05033,05033
05035,05035
05037,05037
05039,05g02
05041,05041
05043,05043
05045,05045
05047,05047
05049,05049
05051,05051
05053,05g02
05055,05055
05057,05g07
05059,05059
05061,05061
05063,05063
05065,05065
05067,05g10
05069,05069
05071,05071
05073,05g03
05075,05075
05077,05g04
05079,05079
05081,05081
05083,05083
05085,05085
05087,05087
05089,05g09
05091,05g03
05093,05093
05095,05g05
05097,05g06
05099,05g07
05101,05g08
05103,05103
05105,05105
05107,05107
05109,05g06
05111,05111
05113,05113
05115,05115
05117,05g05
05119,05119
05121,05121
05123,05g04
05125,05125
05127,05127
05129,05g09
05131,05131
05133,05133
05135,05135
05137,05137
05139,05139
05141,05141
05143,05143
05145,05145
05147,05g10
05149,05149
06000,06000
06001,06001
06003,06g01
06005,06005
06007,06007
06009,06009
06011,06011
06013,06013
06015,06015
06017,06017
06019,06019
06021,06021
06023,06023
06025,06025
06027,06027
06029,06029
06031,06031
06033,06033
06035,06g02
06037,06037
06039,06039
06041,06041
06043,06043
06045,06045
06047,06047
06049,06g02
06051,06051
06053,06053
06055,06055
06057,06g03
06059,06059
06061,06061
06063,06063
06065,06065
06067,06067
06069,06069
06071,06071
06073,06073
06075,06075
06077,06077
06079,06079
06081,06081
06083,06083
06085,06085
06087,06087
06089,06089
06091,06g03
06093,06093
06095,06095
06097,06097
06099,06099
06101,06101
06103,06103
06105,06105
06107,06107
06109,06g01
06111,06111
06113,06113
06115,06115
08000,08000
08001,08001
08003,08g04
08005,08005
08007,08g12
08009,08g01
08011,08g01
08013,08013
08014,08014
08015,08g10
08017,08g02
08019,08g03
08021,08g15
08023,08g04
08025,08g05
08027,08g06
08029,08029
08031,08031
08033,08g07
08035,08035
08037,08037
08039,08g11
08041,08041
08043,08g06
08045,08g14
08047,08g03
08049,08g09
08051,08051
08053,08g07
08055,08g08
08057,08g09
08059,08059
08061,08g01
08063,08g02
08065,08g10
08067,08067
08069,08069
08071,08071
08073,08g11
08075,08g13
08077,08077
08079,08g12
08081,08081
08083,08083
08085,08g07
08087,08g16
08089,08g05
08091,08g07
08093,08093
08095,08g13
08097,08097
08099,08g01
08101,08g08
08103,08g14
