fips,msa
01001,33860
01003,19300
01007,13820
01009,13820
01015,11500
01021,13820
01033,22520
01051,33860
01055,23460
01061,20020
01063,46220
01065,46220
01067,20020
01069,20020
01073,13820
01077,22520
01079,19460
01081,12220
01083,26620
01085,33860
01089,26620
01097,33660
01101,33860
01103,19460
01107,46220
01113,17980
01115,13820
01117,13820
01125,46220
01129,33660
02020,11260
02090,21820
02170,11260
04003,43420
04005,22380
04013,38060
04015,29420
04019,46060
04021,38060
04025,39150
04027,49740
05007,22220
05025,38220
05031,27860
05033,22900
05035,32820
05045,30780
05047,22900
05051,26300
05053,30780
05069,38220
05079,38220
05081,45500
05085,30780
05087,22220
05091,45500
05105,30780
05111,27860
05119,30780
05125,30780
05131,22900
05143,22220
06001,41860
06007,17020
06013,41860
06017,40900
06019,23420
06025,20940
06029,12540
06031,25260
06037,31080
06039,31460
06041,41860
06047,32900
06053,41500
06055,34900
06059,31080
06061,40900
06065,40140
06067,40900
06069,41940
06071,40140
06073,41740
06075,41860
06077,44700
06079,42020
06081,41860
06083,42200
06085,41940
06087,42100
06089,39820
06095,46700
06097,42220
06099,33700
06101,49700
06107,47300
06111,37100
06113,40900
06115,49700
08001,19740
08005,19740
08013,14500
08014,19740
08019,19740
08031,19740
08035,19740
08039,19740
08041,17820
08047,19740
08059,19740
08069,22660
08077,24300
08093,19740
08101,39380
08119,17820
08123,24540
09001,14860
09003,25540
09007,25540
09009,35300
09011,35980
09013,25540
09015,49340
10001,20100
10003,37980
10005,41540
11001,47900
12001,23540
12003,27260
12005,37460
12009,37340
12011,33100
12015,39460
12017,26140
12019,27260
12021,34940
12031,27260
12033,37860
12035,19660
12039,45220
12041,23540
12053,45300
12055,42700
12057,45300
12061,42680
12065,45220
12069,36740
12071,15980
12073,45220
12075,23540
12081,35840
12083,36100
12085,38940
12086,33100
12089,27260
12091,18880
12095,36740
12097,36740
12099,33100
12101,45300
12103,45300
12105,29460
12109,27260
12111,38940
12113,37860
12115,35840
12117,36740
12119,45540
12127,19660
12129,45220
12131,18880
13013,12060
13015,12060
13021,31420
13025,15260
13027,46660
13029,42340
13033,12260
13035,12060
13045,12060
13047,16860
13051,42340
13053,17980
13057,12060
13059,12020
13063,12060
13067,12060
13073,12260
13077,12060
13079,31420
13083,16860
13085,12060
13089,12060
13095,10500
13097,12060
13101,46660
13103,42340
13113,12060
13115,40660
13117,12060
13121,12060
13127,15260
13135,12060
13139,23580
13143,12060
13145,17980
13149,12060
13151,12060
13153,47580
13159,12060
13169,31420
13171,12060
13173,46660
13177,10500
13179,25980
13181,12260
13183,25980
13185,46660
13189,12260
13191,15260
13195,12020
13197,17980
13199,12060
13207,31420
13211,12060
13213,19140
13215,17980
13217,12060
13219,12020
13221,12020
13223,12060
13225,47580
13227,12060
13231,12060
13245,12260
13247,12060
13255,12060
13259,17980
13263,17980
13273,10500
13289,31420
13295,16860
13297,12060
13313,19140
13321,10500
15003,46520
15009,27980
16001,14260
16005,38540
16015,14260
16019,26820
16023,26820
16027,14260
16041,30860
16045,14260
16051,26820
16053,46300
16055,17660
16069,30300
16073,14260
16077,38540
16083,46300
17003,16020
17005,41180
17007,40420
17013,41180
17019,16580
17027,41180
17031,16980
17037,16980
17043,16980
17057,37900
17063,16980
17073,19340
17077,16060
17083,41180
17087,16060
17089,16980
17091,28100
17093,16980
17097,16980
17111,16980
17113,14010
17115,19500
17117,41180
17119,41180
17123,37900
17129,44100
17131,19340
17133,41180
17143,37900
17147,16580
17161,19340
17163,41180
17167,44100
17175,37900
17179,37900
17183,19180
17197,16980
17199,16060
17201,40420
17203,37900
18003,23060
18005,18020
18007,29200
18011,26900
18013,26900
18015,29200
18019,31140
18021,45460
18029,17140
18035,34620
18039,21140
18043,31140
18047,17140
18057,26900
18059,26900
18061,31140
18063,26900
18067,29020
18073,16980
18081,26900
18089,16980
18091,33140
18095,26900
18097,26900
18105,14020
18109,26900
18111,16980
18115,17140
18119,14020
18121,45460
18127,16980
18129,21780
18133,26900
18141,43780
18145,26900
18153,45460
18157,29200
18161,17140
18163,21780
18165,45460
18167,45460
18171,29200
18173,21780
18175,31140
18183,23060
19011,16300
19013,47940
19015,11180
19017,47940
19049,19780
19061,20220
19075,47940
19077,19780
19085,36540
19099,19780
19103,26980
19105,16300
19113,16300
19121,19780
19129,36540
19153,19780
19155,36540
19163,19340
19169,11180
19181,19780
19183,26980
19193,43580
20015,48620
20043,41140
20045,29940
20061,31740
20079,48620
20085,45820
20087,45820
20091,28140
20103,28140
20107,28140
20121,28140
20139,45820
20149,31740
20161,31740
20173,48620
20177,45820
20191,48620
20197,45820
20209,28140
21003,14540
21015,17140
21017,30460
21019,26580
21023,17140
21029,31140
21031,14540
21037,17140
21043,26580
21047,17300
21049,30460
21059,36980
21061,14540
21067,30460
21077,17140
21081,17140
21089,26580
21091,36980
21093,21060
21101,21780
21103,31140
21111,31140
21113,30460
21117,17140
21123,21060
21149,36980
21163,21060
21185,31140
21191,17140
21209,30460
21211,31140
21215,31140
21221,17300
21227,14540
21239,30460
22001,29180
22005,12940
22007,12940
22015,43340
22017,43340
22019,29340
22023,29340
22031,43340
22033,12940
22037,12940
22043,10780
22045,29180
22047,12940
22051,35380
22055,29180
22057,26380
22063,12940
22067,33740
22071,35380
22073,33740
22075,35380
22077,12940
22079,10780
22087,35380
22089,35380
22091,12940
22093,35380
22095,35380
22099,29180
22103,35380
22105,25220
22109,26380
22111,33740
22113,29180
22121,12940
22125,12940
23001,30340
23005,38860
23019,12620
23023,38860
23031,38860
24001,19060
24003,12580
24005,12580
24009,47900
24013,12580
24015,37980
24017,47900
24021,47900
24025,12580
24027,12580
24031,47900
24033,47900
24035,12580
24037,15680
24039,41540
24043,25180
24045,41540
24047,41540
24510,12580
25001,12700
25003,38340
25005,39300
25009,14460
25011,44140
25013,44140
25015,44140
25017,14460
25021,14460
25023,14460
25025,14460
25027,49340
26017,13020
26021,35660
26025,12980
26027,43780
26037,29620
26045,29620
26049,22420
26065,29620
26067,24340
26075,27100
26077,28020
26081,24340
26087,19820
26093,19820
26099,19820
26111,33220
26115,33780
26117,24340
26121,34740
26125,19820
26139,24340
26145,40980
26147,19820
26155,29620
26161,11460
26163,19820
27003,33460
27009,41060
27013,31860
27017,20260
27019,33460
27025,33460
27027,22020
27037,33460
27039,40340
27045,40340
27053,33460
27055,29100
27059,33460
27075,20260
27079,33460
27095,33460
27103,31860
27109,40340
27119,24220
27123,33460
27137,20260
27139,33460
27141,33460
27145,41060
27157,40340
27163,33460
27171,33460
28029,27140
28031,25620
28033,32820
28035,25620
28045,25060
28047,25060
28049,27140
28051,27140
28059,25060
28073,25620
28089,27140
28093,32820
28111,25620
28121,27140
28127,27140
28131,25060
28137,32820
28143,32820
28163,27140
29003,41140
29013,28140
29017,16020
29019,17860
29021,41140
29025,28140
29027,27620
29031,16020
29037,28140
29043,44180
29047,28140
29049,28140
29051,27620
29053,17860
29059,44180
29063,41140
29071,41180
29077,44180
29089,17860
29095,28140
29097,27900
29099,41180
29107,28140
29113,41180
29135,27620
29145,27900
29151,27620
29165,28140
29167,44180
29177,28140
29183,41180
29189,41180
29219,41180
29225,44180
29510,41180
30009,13740
30013,24500
30063,33540
30095,13740
30111,13740
31025,36540
31043,43580
31051,43580
31055,36540
31079,24260
31093,24260
31109,30700
31121,24260
31153,36540
31155,36540
31159,30700
31177,36540
32003,29820
32029,39900
32031,39900
32510,16180
33011,31700
33015,14460
33017,14460
34001,12100
34003,35620
34005,37980
34007,37980
34009,36140
34011,47220
34013,35620
34015,37980
34017,35620
34019,35620
34021,45940
34023,35620
34025,35620
34027,35620
34029,35620
34031,35620
34033,37980
34035,35620
34037,35620
34039,35620
