fips,pop
01001,56145
01003,229287
01005,24589
01007,22136
01009,57879
01011,9976
01013,19504
01015,113469
01017,32865
01019,26294
01021,44397
01023,12418
01025,23291
01027,13112
01029,14967
01031,53230
01033,55411
01035,11851
01037,10650
01039,36930
01041,13681
01043,84515
01045,48959
01047,36098
01049,71658
01051,82158
01053,36281
01055,102371
01057,16241
01059,31507
01061,26411
01063,7990
01065,14670
01067,17223
01069,106580
01071,51582
01073,655342
01075,13764
01077,93368
01079,32857
01081,166831
01083,102228
01085,9641
01087,17895
01089,379453
01091,18733
01093,29703
01095,96990
01097,412716
01099,20459
01101,224639
01103,119883
01105,8687
01107,19793
01109,32966
01111,22920
01113,58237
01115,90739
01117,221428
01119,12225
01121,79985
01123,40133
01125,210758
01127,63143
01129,15976
01131,10206
01133,23508
02013,3401
02016,5680
02020,287095
02050,18437
02060,788
02063,6427
02066,2919
02068,2081
02070,4833
02090,95651
02100,2614
02105,2141
02110,31849
02122,59414
02130,13747
02150,12992
02158,8328
02164,1493
02170,110213
02180,9909
02185,9294
02188,7644
02195,3296
02198,6147
02220,8405
02230,1179
02240,6957
02275,2510
02282,637
02290,5077
04001,71875
04003,127450
04005,142481
04007,54303
04009,39211
04011,9341
04012,21480
04013,4579081
04015,217206
04017,112112
04019,1061175
04021,480828
04023,46808
04025,240226
04027,217824
05001,17383
05003,19339
05005,42242
05007,288774
05009,37625
05011,10639
05013,5113
05015,28276
05017,9924
05019,22103
05021,14375
05023,24935
05025,7957
05027,23331
05029,21037
05031,112245
05033,63409
05035,47616
05037,16142
05039,6802
05041,11110
05043,17977
05045,126919
05047,17897
05049,12381
05051,99789
05053,18449
05055,45597
05057,21253
05059,33787
05061,13109
05063,37757
05065,13613
05067,16636
05069,65377
05071,26513
05073,6596
05075,16410
05077,8513
05079,12944
05081,12180
05083,21410
05085,73921
05087,16644
05089,16790
05091,43177
05093,40066
05095,6584
05097,9006
05099,8099
05101,7602
05103,23167
05105,10327
05107,17299
05109,10643
05111,23283
05113,19707
05115,64334
05117,7966
05119,392980
05121,18247
05123,24682
05125,123968
05127,10164
05129,7842
05131,127590
05133,16702
05135,17424
05137,12674
05139,38219
05141,16541
05143,243216
05145,78729
05147,6264
05149,21181
06001,1662323
06003,1119
06005,40083
06007,212744
06009,46308
06011,21558
06013,1152333
06015,27968
06017,192925
06019,1000918
06021,28283
06023,134977
06025,180267
06027,18046
06029,901362
06031,152692
06033,64479
06035,30016
06037,9943046
06039,157761
06041,257332
06043,17160
06045,86061
06047,279252
06049,8763
06051,14534
06053,430906
06055,135965
06057,99606
06059,3166857
06061,402950
06063,18967
06065,2489188
06067,1559146
06069,64055
06071,2189183
06073,3332427
06075,866606
06077,767967
06079,282249
06081,758308
06083,444766
06085,1907105
06087,269925
06089,179027
06091,2920
06093,43245
06095,446935
06097,489819
06099,550081
06101,96385
06103,64494
06105,12216
06107,468680
06109,54515
06111,841387
06113,219728
06115,80160
08001,519883
08003,16180
08005,657452
08007,14196
08009,3555
08011,5356
08013,327171
08014,72236
08015,20661
08017,1795
08019,9586
08021,8143
08023,3921
08025,5696
08027,5183
08029,31067
08031,735538
08033,2096
08035,360750
08037,54929
08039,27313
08041,728310
08043,47867
08045,60366
08047,6235
08049,15794
08051,17593
08053,808
08055,6883
08057,1389
08059,583283
08061,1458
08063,7121
08065,7987
08067,56564
08069,360428
08071,14420
08073,5680
08075,21974
08077,155603
08079,773
08081,13144
08083,26408
08085,43322
08087,28941
08089,18201
08091,5001
08093,18955
08095,4367
08097,17894
08099,12106
08101,169823
08103,6342
08105,11296
08107,25560
08109,6938
08111,748
08113,8105
08115,2260
08117,30631
08119,25529
08121,4875
08123,333983
08125,10047
09001,942426
09003,889226
09005,179610
09007,161657
09009,851948
09011,264999
09013,150600
09015,116540
10001,183643
10003,561531
10005,241635
11001,712816
12001,271218
12003,29566
12005,171322
12007,28593
12009,608459
12011,1958105
12013,14078
12015,194711
12017,153010
12019,221770
12021,392973
12023,72654
12027,38520
12029,17057
12031,966728
12033,322364
12035,118451
12037,12201
12039,45277
12041,18885
12043,14198
12045,13534
12047,14521
12049,26822
12051,42813
12053,198792
12055,106639
12057,1497957
12059,19594
12061,162518
12063,46085
12065,14543
12067,8482
12069,375492
12071,790767
12073,295460
12075,42214
12077,8364
12079,18707
12081,411219
12083,373513
12085,162088
12086,2707303
12087,73900
12089,91113
12091,212820
12093,42297
12095,1404396
12097,385315
12099,1507600
12101,570412
12103,976802
12105,744552
12107,74815
12109,278715
12111,337186
12113,189139
12115,443465
12117,474171
12119,139018
12121,44851
12123,21600
12125,15182
12127,561497
12129,34319
12131,76648
12133,25932
13001,18325
13003,8393
13005,11036
13007,2971
13009,45099
13011,19352
13013,85588
13015,109426
13017,16614
13019,19408
13021,152737
13023,12955
13025,19202
13027,15357
13029,40755
13031,80839
13033,22648
13035,25426
13037,6231
13039,55388
13043,10985
13045,121633
13047,67996
13049,13430
13051,289463
13053,10551
13055,24843
13057,265274
13059,127795
13061,2866
13063,292646
13065,6582
13067,762944
13069,43218
13071,45542
13073,160377
13075,17291
13077,150849
13079,12231
13081,22034
13083,16057
13085,27113
13087,26457
13089,762009
13091,20452
13093,13174
13095,86477
13097,147988
13099,10037
13101,4002
13103,65765
13105,19335
13107,22507
13109,10638
13111,26521
13113,115821
13115,98604
13117,250847
13119,23504
13121,1077402
13123,31978
13125,2984
13127,85568
13129,58780
13131,24491
13133,18837
13135,942627
13137,46047
13139,206591
13141,8494
13143,30383
13145,36080
13147,26406
13149,11973
13151,239139
13153,160110
13155,9387
13157,76199
13159,14483
13161,15213
13163,15267
13165,8746
13167,9667
13169,28787
13171,19261
13173,10737
13175,47512
13177,30234
13179,63004
13181,8031
13183,20171
13185,118268
13187,34186
13189,21162
13191,14387
13193,12712
13195,30457
13197,8516
13199,21164
13201,5622
13205,21602
13207,28042
13209,9012
13211,19636
13213,40032
13215,196442
13217,113295
13219,41124
13221,15383
13223,173359
13225,27950
13227,33127
13229,19522
13231,19121
13233,42840
13235,11191
13237,22520
13239,2271
13241,17273
13243,6682
13245,202079
13247,90939
13249,5196
13251,14012
13253,8060
13255,67414
13257,26107
13259,6689
13261,29282
13263,6143
13265,1562
13267,25365
13269,8074
13271,15781
13273,8523
13275,44372
13277,40719
13279,26973
13281,12247
13283,6822
13285,70214
13287,7882
13289,8103
13291,25358
13293,26527
13295,70116
13297,96875
13299,35826
13301,5232
13303,20150
13305,30023
13307,2595
13309,7751
13311,31094
13313,103837
13315,8502
13317,9694
13319,8812
13321,19972
15001,203340
15003,963826
15005,87
15007,71851
15009,167902
16001,494399
16003,4447
16005,88795
16007,6143
16009,9430
16011,47202
16013,23426
16015,8065
16017,46817
16019,122134
16021,12656
16023,2646
16025,1130
16027,237053
16029,7123
16031,24277
16033,852
16035,8846
16037,4249
16039,27448
16041,14215
16043,13218
16045,18703
16047,15618
16049,16823
16051,30581
16053,24578
16055,170628
16057,40830
16059,8054
16061,3838
16063,5358
16065,40318
16067,21216
16069,40755
16071,4520
16073,12133
16075,24771
16077,7643
16079,12911
16081,12501
16083,88411
16085,11792
16087,10360
17001,64783
17003,5497
17005,16262
17007,52777
17009,6546
17011,32303
17013,4616
17015,14241
17017,11925
17019,209192
17021,32075
17023,15268
17025,13079
17027,37398
17029,50383
17031,5108284
17033,18512
17035,10649
17037,104491
17039,15368
17041,19510
17043,917481
17045,16858
17047,6356
17049,34065
17051,21264
17053,12949
17055,38060
17057,33690
17059,4793
17061,12702
17063,50993
17065,8084
17067,17422
17069,3808
17071,6535
17073,48411
17075,26711
17077,56675
17079,9465
17081,37235
17083,21616
17085,21239
17087,12358
17089,531010
17091,108594
17093,130638
17095,49053
17097,693593
17099,107571
17101,15467
17103,33647
17105,35414
17107,28383
17109,29295
17111,305888
17113,171256
17115,103015
17117,44567
17119,262635
17121,37045
17123,11309
17125,13173
17127,13636
17129,12068
17131,15225
17133,34739
17135,28045
17137,33400
17139,14347
17141,50306
17143,177652
17145,20664
17147,16355
17149,15239
17151,4142
17153,5201
17155,5716
17157,31351
17159,15507
17161,140907
17163,258046
17165,23182
17167,193882
17169,6738
17171,4950
17173,21299
17175,5262
17177,43831
17179,130777
17181,16498
17183,74855
17185,11190
17187,16696
17189,13764
17191,16031
17193,13364
17195,54656
17197,688726
17199,66415
17201,281295
17203,38091
18001,35839
18003,382187
18005,84447
18007,8741
18009,11782
18011,69347
18013,15112
18015,20228
18017,37388
18019,119266
18021,26246
18023,32206
18025,10629
18027,33505
18029,49824
18031,26584
18033,43670
18035,113454
18037,42542
18039,206161
18041,22892
18043,78936
18045,16511
18047,22761
18049,20018
18051,33825
18053,65225
18055,32203
18057,344238
18059,79553
18061,40682
18063,173251
18065,48033
18067,82732
18069,36395
18071,44222
18073,33440
18075,20416
18077,32110
18079,27515
18081,160607
18083,36522
18085,78988
18087,40119
18089,487536
18091,109663
18093,45496
18095,129681
18097,966183
18099,46108
18101,10079
18103,35328
18105,148219
18107,38365
18109,70707
18111,13907
18113,47832
18115,5892
18117,19651
18119,20833
18121,16871
18123,19154
18125,12378
18127,170980
18129,25275
18131,12388
18133,37469
18135,24191
18137,28448
18139,16649
18141,271484
18143,23788
18145,44871
18147,20225
18149,23049
18151,34831
18153,20578
18155,10724
18157,196115
18159,15227
18161,7119
18163,182447
18165,15329
18167,106608
18169,30784
18171,8194
18173,63269
18175,28213
18177,65778
18179,28142
18181,24165
18183,34378
19001,7059
19003,3588
19005,13642
19007,12430
19009,5481
19011,25414
19013,130786
19015,26277
19017,25311
19019,21287
19021,19772
19023,14333
19025,9473
19027,19914
19029,12817
19031,18485
19033,42103
19035,11190
19037,11834
19039,9353
