fips,hrr,weight
1001,1,0.016004628
1007,1,0.427184041
1009,1,1.0
1015,1,1.0
1017,1,0.956007299
1019,1,0.24919047800000002
1021,1,1.0
1027,1,1.0
1029,1,0.686206897
1033,1,1.0
1037,1,0.9095259590000001
1043,1,0.972076594
1047,1,1.0
1049,1,0.944678407
1055,1,1.0
1057,1,0.000740329
1059,1,0.975363772
1063,1,0.169433962
1073,1,1.0
1075,1,0.036225266
1077,1,1.0
1079,1,0.8401579109999999
1081,1,0.7819965520000001
1085,1,0.112069895
1087,1,0.862176055
1091,1,0.782827203
1093,1,0.6131667470000001
1095,1,0.553403936
1099,1,0.00039091099999999997
1103,1,0.340494653
1105,1,1.0
1111,1,0.98110908
1115,1,1.0
1117,1,1.0
1121,1,1.0
1123,1,1.0
1125,1,0.080348352
1127,1,1.0
1131,1,0.712288447
1133,1,1.0
13285,1,0.101185281
28141,1,0.772243268
47099,1,0.022726266000000002
47181,1,0.22676277399999997
1005,2,1.0
1031,2,1.0
1039,2,0.253977745
1045,2,1.0
1061,2,1.0
1067,2,1.0
1069,2,1.0
1109,2,0.026860073999999998
12059,2,1.0
12063,2,1.0
12133,2,0.040546458
13061,2,0.8445161290000001
13099,2,1.0
13201,2,0.10389036300000001
13253,2,1.0
1043,5,0.027923406
1071,5,0.722037632
1079,5,0.159842089
1083,5,1.0
1089,5,1.0
1095,5,0.44659606399999996
1103,5,0.6595053470000001
47003,5,0.063868066
47055,5,0.09313073300000001
47103,5,1.0
1003,6,0.971718008
1025,6,1.0
1035,6,0.169901749
1091,6,0.217172797
1097,6,1.0
1099,6,0.999609089
1129,6,1.0
1131,6,0.287711553
28041,6,0.793746848
28059,6,1.0
1001,7,0.983995372
1011,7,1.0
1013,7,1.0
1035,7,0.647735442
1037,7,0.09047404099999999
1041,7,1.0
1051,7,1.0
1085,7,0.887930105
1087,7,0.137823945
1101,7,1.0
1109,7,0.973139926
1007,9,0.5728159589999999
1057,9,0.9992596709999999
1063,9,0.830566038
1065,9,1.0
1075,9,0.671156773
1107,9,0.896539944
1119,9,0.132011938
1125,9,0.919651648
2013,10,1.0
2016,10,1.0
2020,10,1.0
2050,10,1.0
2060,10,1.0
2068,10,1.0
2070,10,1.0
2090,10,1.0
2100,10,1.0
2105,10,1.0
2110,10,1.0
2122,10,1.0
2130,10,1.0
2150,10,1.0
2164,10,1.0
2170,10,1.0
2180,10,1.0
2185,10,1.0
2188,10,1.0
2195,10,1.0
2198,10,1.0
2220,10,1.0
2230,10,1.0
2240,10,1.0
2261,10,1.0
2270,10,1.0
2275,10,1.0
2282,10,1.0
2290,10,1.0
4013,11,0.313591566
4021,11,0.481143903
4001,12,0.240791673
4005,12,0.9831498409999999
4007,12,0.990629237
4009,12,0.14459782300000001
4012,12,1.0
4013,12,0.620565385
4015,12,0.635030875
4017,12,0.957769799
4019,12,0.004319223
4021,12,0.43586784799999995
4025,12,0.981552682
4027,12,1.0
6025,12,0.010245156
6065,12,0.009286325
6071,12,0.000614992
4013,14,0.065843049
4025,14,0.018447318
4003,15,1.0
4007,15,0.009370763
4009,15,0.855402177
4011,15,1.0
4019,15,0.995680777
4021,15,0.082988249
4023,15,1.0
5033,16,1.0
5047,16,1.0
5083,16,0.9718348
5113,16,0.873228971
5127,16,1.0
5131,16,1.0
40061,16,1.0
40077,16,1.0
40079,16,1.0
40089,16,0.049461602
40121,16,0.046614845999999995
40127,16,0.00648213
40135,16,0.921437155
5021,18,0.6796090859999999
5031,18,1.0
5037,18,0.038122299
5055,18,1.0
5075,18,0.8695813259999999
5093,18,0.17167513199999998
5111,18,0.916632744
5121,18,1.0
5135,18,0.057231565
29069,18,0.629664697
29143,18,0.103517915
29155,18,0.050269191
5001,19,1.0
5003,19,1.0
5005,19,0.0014598179999999999
5011,19,1.0
5013,19,1.0
5017,19,1.0
5019,19,1.0
5023,19,1.0
5025,19,1.0
5027,19,0.924958288
5029,19,1.0
5039,19,1.0
5041,19,1.0
5043,19,1.0
5045,19,1.0
5049,19,0.39838741
5051,19,1.0
5053,19,1.0
5059,19,1.0
5063,19,1.0
5065,19,1.0
5067,19,1.0
5069,19,1.0
5071,19,1.0
5073,19,0.467471391
5075,19,0.130418674
5079,19,1.0
5083,19,0.028165199999999998
5085,19,1.0
5095,19,1.0
5097,19,1.0
5101,19,0.044399439000000006
5103,19,1.0
5105,19,1.0
5109,19,0.9584872640000001
5115,19,1.0
5117,19,1.0
5119,19,1.0
5125,19,1.0
5135,19,0.7932729620000001
5137,19,1.0
5139,19,1.0
5141,19,1.0
5145,19,1.0
5147,19,1.0
5149,19,1.0
5007,21,1.0
5009,21,1.0
5015,21,0.7218194490000001
5087,21,1.0
5089,21,0.015761703999999998
5101,21,0.9556005609999999
5129,21,0.906476449
5143,21,1.0
29009,21,0.077530035
29119,21,0.278477058
40001,21,0.339202237
40041,21,0.190760535
5057,22,1.0
5061,22,1.0
5073,22,0.532528609
5081,22,1.0
5091,22,1.0
5099,22,1.0
5109,22,0.041512736
5113,22,0.126771029
5133,22,1.0
40089,22,0.7843450479999999
48037,22,1.0
48067,22,0.6577801010000001
6059,23,1.0
6065,23,0.119021265
6073,23,0.003675517
6029,25,0.8989353040000001
6107,25,0.927959352
6007,31,0.933237894
6011,31,0.04524699
6021,31,1.0
6035,31,0.10425
6063,31,0.273807433
6103,31,0.760360563
6115,31,0.016148556
6013,33,0.769359847
6095,33,0.578379985
6019,43,1.0
6031,43,1.0
6039,43,0.847139573
6043,43,0.007669285
6107,43,0.072040648
6029,56,0.060870745
6037,56,0.9974601390000001
6071,56,0.018016311
6009,58,0.099454228
6039,58,0.152860427
6043,58,0.992330715
6047,58,1.0
6077,58,0.042082155
6099,58,1.0
6109,58,1.0
6023,62,0.045367897000000004
6033,62,1.0
6045,62,0.9509845570000001
6055,62,0.856276321
6105,62,0.064717199
6001,65,1.0
6013,65,0.022841137999999997
6065,69,0.131287315
6071,69,0.032731553999999996
6023,73,0.954632103
6035,73,0.0168125
6049,73,0.202995008
6089,73,1.0
6093,73,0.389147601
6103,73,0.23963943699999998
6105,73,0.9352828009999999
6003,77,0.067857143
6005,77,1.0
6007,77,0.066762106
6009,77,0.033630157
6011,77,0.95475301
6017,77,0.995674893
