fips,pop
01001,55769
01003,223565
01005,24657
01007,22313
01009,57840
01011,10144
01013,19501
01015,114070
01017,33244
01019,26254
01021,44313
01023,12577
01025,23651
01027,13265
01029,14952
01031,52639
01033,55241
01035,12055
01037,10677
01039,37082
01041,13811
01043,83644
01045,49294
01047,37182
01049,71506
01051,81575
01053,36569
01055,102460
01057,16279
01059,31587
01061,26309
01063,8104
01065,14669
01067,17125
01069,106240
01071,51672
01073,658539
01075,13817
01077,93028
01079,32851
01081,165015
01083,99136
01085,9726
01087,18065
01089,372547
01091,18919
01093,29826
01095,96751
01097,413516
01099,20689
01101,226074
01103,119630
01105,8940
01107,19940
01109,33034
01111,22781
01113,58098
01115,89735
01117,218176
01119,12358
01121,80226
01123,40337
01125,210321
01127,63680
01129,16279
01131,10396
01133,23700
02013,3355
02016,5702
02020,288790
02050,18493
02060,840
02063,6509
02066,2886
02068,2125
02070,4932
02090,97088
02100,2561
02105,2144
02110,32038
02122,58914
02130,13905
02150,13209
02158,8384
02164,1583
02170,108578
02180,10040
02185,9433
02188,7673
02195,3294
02198,6211
02220,8501
02230,1193
02240,6879
02275,2513
02282,576
02290,5254
04001,71920
04003,127248
04005,143967
04007,54077
04009,38890
04011,9467
04012,21257
04013,4492261
04015,213846
04017,111037
04019,1049261
04021,461640
04023,46728
04025,236062
04027,214182
05001,17515
05003,19742
05005,41978
05007,279835
05009,37616
05011,10792
05013,5137
05015,28352
05017,10189
05019,22365
05021,14494
05023,25019
05025,7937
05027,23496
05029,20905
05031,110772
05033,63406
05035,47924
05037,16333
05039,6951
05041,11400
05043,18092
05045,125828
05047,17737
05049,12516
05051,99472
05053,18287
05055,45316
05057,21568
05059,33784
05061,13219
05063,37819
05065,13620
05067,16782
05069,67137
05071,26596
05073,6656
05075,16440
05077,8889
05079,13012
05081,12368
05083,21495
05085,73648
05087,16519
05089,16645
05091,43370
05093,40717
05095,6723
05097,9047
05099,8205
05101,7712
05103,23372
05105,10417
05107,17769
05109,10705
05111,23502
05113,19944
05115,64145
05117,8093
05119,392318
05121,18161
05123,24977
05125,122550
05127,10217
05129,7862
05131,127688
05133,16972
05135,17276
05137,12614
05139,38677
05141,16529
05143,239392
05145,78621
05147,6431
05149,21376
06001,1668412
06003,1113
06005,39693
06007,218726
06009,46119
06011,21474
06013,1152883
06015,27903
06017,193057
06019,997847
06021,28445
06023,135839
06025,180439
06027,17993
06029,898898
06031,152727
06033,64463
06035,30694
06037,10011602
06039,156717
06041,259085
06043,17117
06045,86932
06047,277114
06049,8866
06051,14450
06053,433380
06055,137678
06057,99648
06059,3170851
06061,398918
06063,19052
06065,2465569
06067,1551660
06069,62803
06071,2177279
06073,3330459
06075,878826
06077,761571
06079,282728
06081,764810
06083,445464
06085,1922411
06087,272870
06089,179645
06091,2959
06093,43663
06095,447434
06097,492318
06099,549761
06101,96910
06103,65186
06105,12337
06107,465751
06109,54290
06111,844203
06113,220019
06115,78549
08001,516575
08003,16200
08005,656051
08007,13928
08009,3620
08011,5578
08013,326020
08014,70617
08015,20319
08017,1824
08019,9598
08021,8169
08023,3872
08025,5989
08027,5119
08029,31021
08031,725508
08033,2042
08035,351842
08037,55183
08039,26707
08041,721929
08043,48009
08045,60031
08047,6232
08049,15748
08051,17480
08053,789
08055,6868
08057,1397
08059,582800
08061,1417
08063,7161
08065,8072
08067,56440
08069,357241
08071,14415
08073,5694
08075,22409
08077,154552
08079,756
08081,13209
08083,26369
08085,42791
08087,28938
08089,18243
08091,5005
08093,18881
08095,4359
08097,17902
08099,12106
08101,168409
08103,6350
08105,11277
08107,25579
08109,6829
08111,723
08113,8169
08115,2274
08117,30851
08119,25408
08121,4869
08123,324703
08125,10020
09001,944388
09003,891349
09005,180396
09007,162538
09009,853818
09011,265784
09013,150865
09015,116884
10001,181492
10003,559941
10005,235235
11001,708253
12001,269489
12003,29288
12005,173895
12007,28348
12009,601024
12011,1955475
12013,14140
12015,189669
12017,150153
12019,219014
12021,385917
12023,71766
12027,37821
12029,16887
12031,959853
12033,319379
12035,115481
12037,12113
12039,45670
12041,18572
12043,13914
12045,13498
12047,14470
12049,26806
12051,42069
12053,194290
12055,105890
12057,1476431
12059,19661
12061,159739
12063,46257
12065,14280
12067,8384
12069,366941
12071,772268
12073,293866
12075,41620
12077,8341
12079,18599
12081,402977
12083,365997
12085,161212
12086,2711612
12087,73897
12089,88583
12091,211411
12093,42141
12095,1395371
12097,374170
12099,1497800
12101,554032
12103,975367
12105,724967
12107,74309
12109,265068
12111,328063
12113,184587
12115,435006
12117,471791
12119,133772
12121,44420
12123,21537
12125,15213
12127,554065
12129,33636
12131,74127
12133,25647
13001,18389
13003,8269
13005,11098
13007,3047
13009,45006
13011,19175
13013,83581
13015,107757
13017,16711
13019,19377
13021,153191
13023,12923
13025,19124
13027,15518
13029,39692
13031,79718
13033,22497
13035,24917
13037,6184
13039,54784
13043,10835
13045,120115
13047,67585
13049,13277
13051,290185
13053,10991
13055,24846
13057,259475
13059,128238
13061,2901
