state_code,state_id,state_name,pop
01,al,Alabama,4907965
02,ak,Alaska,724208
04,az,Arizona,7291843
05,ar,Arkansas,3020985
06,ca,California,39437610
08,co,Colorado,5758486
09,ct,Connecticut,3566022
10,de,Delaware,976668
11,dc,District of Columbia,708253
12,fl,Florida,21492056
13,ga,Georgia,10628020
15,hi,Hawaii,1415615
16,id,Idaho,1789060
17,il,Illinois,12667017
18,in,Indiana,6731010
19,ia,Iowa,3159596
20,ks,Kansas,2912635
21,ky,Kentucky,4472345
22,la,Louisiana,4658285
23,me,Maine,1345770
24,md,Maryland,6054954
25,ma,Massachusetts,6894883
26,mi,Michigan,9984795
27,mn,Minnesota,5640053
28,ms,Mississippi,2978227
29,mo,Missouri,6140475
30,mt,Montana,1070123
31,ne,Nebraska,1932571
32,nv,Nevada,3090771
33,nh,New Hampshire,1360783
34,nj,New Jersey,8891258
35,nm,New Mexico,2099634
36,ny,New York,19463131
37,nc,North Carolina,10501384
38,nd,North Dakota,763724
39,oh,Ohio,11696507
40,ok,Oklahoma,3960676
41,or,Oregon,4216116
42,pa,Pennsylvania,12798883
44,ri,Rhode Island,1058158
45,sc,South Carolina,5157702
46,sd,South Dakota,887127
47,tn,Tennessee,6830325
48,tx,Texas,28986794
49,ut,Utah,3203383
50,vt,Vermont,624046
51,va,Virginia,8556642
53,wa,Washington,7614024
54,wv,West Virginia,1795263
55,wi,Wisconsin,5824581
56,wy,Wyoming,580116
60,as,American Samoa,55519
66,gu,Guam,159358
69,mp,Northern Mariana Islands,53883
70,pw,Republic of Palau,520709
72,pr,Puerto Rico,3723066
78,vi,U.S. Virgin Islands,106405
