zip,hsa
00501,33095
00544,33095
01001,22058
01002,22046
01003,22046
01004,22046
01005,22070
01007,22063
01008,22066
01009,22049
01010,22057
01011,22051
01012,22046
01013,22058
01014,22058
01020,22058
01021,22058
01022,22023
01026,22046
01027,22046
01028,22058
01029,22020
01030,22058
01031,22063
01032,22046
01033,22023
01034,22066
01035,22046
01036,22058
01037,22063
01038,22046
01039,22021
01040,22023
01041,22023
01050,22066
01053,22046
01054,22021
01056,22028
01057,22049
01059,22046
01060,22046
01061,22046
01062,22046
01063,22046
01066,22046
01068,22070
01069,22049
01070,22046
01071,22066
01072,22021
01073,22046
01074,22070
01075,22023
01077,22066
01079,22049
01080,22049
01081,22057
01082,22063
01083,22063
01084,22046
01085,22066
01086,22066
01088,22046
01089,22058
01090,22058
01092,22063
01093,22021
01094,22063
01095,22058
01096,22046
01097,22066
01098,22046
01101,22058
01102,22058
01103,22058
01104,22058
01105,22058
01106,22058
01107,22058
01108,22058
01109,22058
01111,22058
01115,22058
01116,22058
01118,22058
01119,22058
01128,22058
01129,22058
01138,22058
01139,22058
01144,22058
01151,22058
01152,22058
01199,22058
01201,22051
01202,22051
01203,22051
01220,22045
01222,22020
01223,22051
01224,22051
01225,22051
01226,22051
01227,22051
01229,22051
01230,22020
01235,22051
01236,22020
01237,22051
01238,22051
01240,22051
01242,22051
01243,22051
01244,22020
01245,22020
01247,22045
01252,22020
01253,22020
01254,22051
01255,22020
01256,22045
01257,22020
01258,22020
01259,22020
01260,22051
01262,22051
01263,22051
01264,22051
01266,22051
01267,22045
01270,22051
01301,22021
01302,22021
01330,22021
01331,22002
01337,22021
01338,22021
01339,22021
01340,22021
01341,22021
01342,22021
01343,22021
01344,22021
01346,22021
01347,22021
01349,22021
01350,22045
01351,22021
01354,22021
01355,22002
01360,22021
01364,22002
01366,22002
01367,22021
01368,22002
01370,22021
01373,22021
01375,22021
01376,22021
01378,22002
01379,22021
01380,22021
01420,22016
01430,22018
01431,22016
01432,22004
01434,22004
01436,22018
01438,22018
01440,22018
01441,22018
01450,22004
01451,22004
01452,22018
01453,22026
01460,22004
01462,22016
01463,22004
01464,22004
01467,22004
01468,22018
01469,22004
01470,22004
01471,22004
01472,22004
01473,22018
01474,22016
01475,22018
01501,22070
01503,22070
01504,41009
01505,22070
01506,22070
01507,22057
01508,22057
01509,22057
01510,22010
01515,22070
01516,22070
01518,22057
01519,22070
01520,22070
01521,22057
01522,22070
01523,22010
01524,22070
01525,22070
01526,22070
01527,22070
01529,41009
01531,22070
01532,22070
01534,22070
01535,22070
01536,22070
01537,22070
01538,22070
01540,22070
01541,22070
01542,22070
01543,22070
01545,22070
01546,22070
01550,22057
01560,22070
01561,22010
01562,22070
01564,22070
01566,22057
01568,22070
01569,22070
01570,22065
01571,22065
01581,22070
01583,22070
01585,22063
01586,22070
01588,22070
01590,22070
01601,22070
01602,22070
01603,22070
01604,22070
01605,22070
01606,22070
01607,22070
01608,22070
01609,22070
01610,22070
01611,22070
01612,22070
01613,22070
01614,22070
01615,22070
01653,22070
01655,22070
01701,22039
01702,22039
01703,22039
01704,22039
01705,22039
01718,22011
01719,22011
01720,22011
01721,22039
01730,22011
01731,22011
01740,22031
01741,22011
01742,22011
01745,22039
01746,22039
01747,22070
01748,22039
01749,22031
01752,22031
01754,22011
01756,22070
01757,22039
01760,22039
01770,22039
01772,22039
01773,22011
01775,22011
01776,22011
01778,22039
01784,22039
01801,22067
01803,22008
01805,22008
01810,22025
01812,22025
01813,22067
01815,22067
01821,22027
01822,22027
01824,22027
01826,22027
01827,22027
01830,22022
01831,22022
01832,22022
01833,22022
01834,22022
01835,22022
01840,22025
01841,22025
01842,22025
01843,22025
01844,22034
01845,22025
01850,22027
01851,22027
01852,22027
01853,22027
01854,22027
01860,22042
01862,22027
01863,22027
01864,22067
01865,22027
01866,22027
01867,22067
01876,22027
01879,22027
01880,22033
01885,22005
01886,22027
01887,22067
01888,22067
01889,22067
01890,22067
01899,22025
01901,22029
01902,22029
01903,22029
01904,22029
01905,22029
01906,22033
01907,22054
01908,22029
01910,22029
01913,22042
01915,22005
01921,22005
01922,22042
01923,22005
01929,22005
01930,22019
01931,22019
01936,22005
01937,22005
01938,22005
01940,22029
01944,22005
01945,22054
01949,22005
01950,22042
01951,22042
01952,22042
01960,22054
01961,22054
01965,22005
01966,22019
01969,22042
01970,22054
01971,22054
01982,22005
01983,22005
01984,22005
01985,22042
02018,22056
02019,41009
02020,22056
02021,22047
02025,22056
02026,22006
02027,22006
02030,22039
02032,22047
02035,22047
02038,22044
02040,22056
02041,22056
02043,22056
02044,22056
02045,22056
02047,22056
02048,22003
02050,22056
02051,22056
02052,22039
02053,22039
02054,22039
02055,22056
02056,22044
02059,22056
02060,22056
02061,22056
02062,22047
02065,22056
02066,22056
02067,22047
02070,22044
02071,22047
02072,22060
02081,22047
02090,22047
02093,22044
02108,22006
02109,22006
02110,22006
02111,22006
02112,22006
02113,22006
02114,22006
02115,22006
02116,22006
02117,22006
02118,22006
02119,22006
02120,22006
02121,22006
02122,22006
02123,22006
02124,22006
02125,22006
02126,22006
02127,22006
02128,22006
02129,22006
02130,22006
02131,22006
02132,22006
02133,22006
02134,22006
02135,22006
02136,22006
02137,22006
02138,22009
02139,22009
02140,22009
02141,22009
02142,22006
02143,22055
02144,22055
02145,22055
02148,22030
02149,22013
02150,22006
02151,22006
02152,22068
02153,22055
02155,22032
02156,22032
02163,22006
02169,22053
02170,22053
02171,22006
02176,22033
02180,22059
02184,22056
02185,22056
02186,22037
02187,22037
02188,22056
02189,22056
02190,22056
02191,22056
02196,22006
02199,22006
02201,22006
02203,22006
02204,22006
02205,22006
02206,22006
02210,22006
02211,22006
02212,22006
02215,22006
02217,22006
02222,22006
02238,22009
02241,22006
02266,22006
02269,22053
02283,22006
02284,22006
02293,22006
02297,22006
02298,22006
02301,22007
02302,22007
02303,22007
02304,22007
02305,22007
02322,22007
02324,22007
02325,22007
02327,22056
02330,22052
02331,22052
02332,22052
02333,22007
02334,22007
02337,22007
02338,22007
02339,22056
02341,22007
02343,22007
02344,22061
02345,22052
02346,22061
02347,22061
02348,22061
02349,22061
02350,22007
02351,22007
02355,22052
02356,22007
02357,22007
02358,22056
02359,22056
02360,22052
02361,22052
02362,22052
02364,22052
02366,22052
02367,22052
02368,22007
02370,22056
02375,22007
02379,22007
02381,22052
02382,22007
02420,22072
02421,22072
02445,22006
02446,22006
02447,22006
02451,22062
02452,22062
02453,22062
02454,22062
02455,22062
02456,22009
02457,22043
02458,22043
02459,22006
02460,22043
02461,22043
02462,22043
02464,22043
02465,22043
02466,22043
02467,22006
02468,22043
02471,22009
02472,22009
02474,22072
02475,22072
02476,22072
02477,22009
02478,22009
02479,22009
02481,22043
02482,22043
02492,22040
02493,22062
02494,22040
02495,22043
02532,22015
02534,22015
02535,22048
02536,22015
02537,22015
02538,22064
02539,22048
02540,22015
02541,22015
02542,22015
02543,22015
02552,22048
02553,22015
02554,22038
02556,22015
02557,22048
02558,22064
02559,22015
02561,22015
02562,22015
02563,22015
02564,22038
02568,22048
02571,22064
02574,22015
02575,22048
02576,22064
02584,22038
02601,22024
02630,22024
02631,22024
02632,22024
02633,22024
02634,22024
02635,22024
02637,22024
02638,22024
02639,22024
02641,22024
02642,22024
02643,22024
02644,22015
02645,22024
02646,22024
02647,22024
02648,22024
02649,22024
02650,22024
02651,22024
02652,22024
02653,22024
02655,22024
02657,22024
02659,22024
02660,22024
02661,22024
02662,22024
02663,22024
02664,22024
02666,22024
02667,22024
02668,22024
02669,22024
02670,22024
02671,22024
02672,22024
02673,22024
02675,22024
02702,22014
02703,22003
02712,22003
02713,22041
02714,22041
02715,22061
02717,22041
02718,22061
02719,22041
02720,22014
02721,22014
02722,22014
02723,22014
02724,22014
02725,22014
02726,22014
02738,22064
02739,22041
02740,22041
02741,22041
02742,22041
02743,22041
02744,22041
02745,22041
02746,22041
02747,22041
02748,22041
02760,22003
02761,22003
02762,22003
02763,22003
02764,22061
02766,22003
02767,22061
02768,22061
02769,41005
02770,22064
02771,41005
02777,22014
02779,22061
02780,22061
02790,22014
02791,22014
02801,22014
02802,41005
02804,41008
02806,41005
02807,41008
02808,41008
02809,41005
02812,41006
02813,41006
02814,41005
02815,41005
02816,41007
02817,41007
02818,41007
02822,41006
02823,41005
02824,41009
02825,41005
02826,41009
02827,41007
02828,41005
02829,41005
02830,41009
02831,41007
02832,41008
02833,41008
02835,41002
02836,41006
02837,22014
02838,41009
02839,41005
02840,41002
02841,41002
02842,41002
02852,41007
02857,41005
02858,41009
02859,41009
02860,41004
02861,41004
02862,41004
02863,41004
02864,41009
02865,41005
02871,41002
02872,41002
02873,41008
02874,41006
02875,41006
02876,41009
02877,41006
02878,22014
02879,41006
02880,41006
02881,41006
02882,41006
02883,41006
02885,41005
02886,41007
02887,41007
02888,41007
02889,41007
02891,41008
02892,41006
02893,41007
02894,41008
02895,41009
02896,41009
02898,41008
02901,41005
02902,41005
02903,41005
02904,41005
02905,41005
02906,41005
02907,41005
02908,41005
02909,41005
02910,41005
02911,41005
02912,41005
02914,41005
02915,41005
02916,41005
02917,41005
02918,41005
02919,41005
02920,41005
02921,41005
02940,41005
03031,30016
03032,30015
03033,30016
03034,30015
03036,30015
03037,30015
03038,30005
03040,30015
03041,30005
03042,30007
03043,30020
03044,30007
03045,30015
03046,30015
03047,30020
03048,30020
03049,30016
03051,30016
03052,30016
03053,30015
03054,30016
03055,30016
03057,30016
03060,30016
03061,30016
03062,30016
03063,30016
03064,30016
03070,30015
03071,30020
03073,22034
03076,22027
03077,30007
03079,22034
03082,30016
03084,30020
03086,30016
03087,30005
03101,30015
03102,30015
03103,30015
03104,30015
03105,30015
03106,30015
03108,30015
03109,30015
03110,30015
03111,30015
03215,30021
03216,30017
03217,30021
03218,30004
03220,30011
03221,30017
03222,30008
03223,30021
03224,30004
03225,30004
03226,30011
03227,30011
03229,30004
03230,30017
03231,30008
03233,30017
03234,30004
03235,30008
03237,30011
03238,30025
03240,30013
03241,30021
03242,30004
03243,30008
03244,30004
03245,30021
03246,30011
03247,30011
03249,30011
03251,30014
03252,30008
03253,30011
03254,30011
03255,30017
03256,30011
03257,30017
03258,30004
03259,30011
03260,30004
03261,30004
03262,30014
03263,30004
03264,30021
03266,30021
03268,30004
03269,30008
03272,30017
03273,30004
03275,30004
03276,30008
03278,30004
03279,30025
03280,30004
03281,30004
03282,30021
03284,30017
03285,30021
03287,30017
03289,30011
03290,30006
03291,30006
03293,30014
03298,30011
03299,30011
03301,30004
03302,30004
03303,30004
03304,30004
03305,30004
03307,30004
03431,30010
03435,30010
03440,30020
03441,30010
03442,30020
03443,30010
03444,30010
03445,30010
03446,30010
03447,30010
03448,30010
03449,30020
03450,30010
03451,47004
03452,30020
03455,30010
03456,30010
03457,30010
03458,30020
03461,30020
03462,30010
03464,30010
03465,30010
03466,47004
03467,30010
03468,30020
03469,30010
03470,30010
03561,30014
03570,30001
03574,30014
03575,30012
03576,30003
03579,30001
03580,30014
03581,30001
03582,30012
03583,30012
03584,30012
03585,30014
03586,30014
03588,30001
03589,30019
03590,30012
03592,30003
03593,30001
03595,30012
03597,30003
03598,30012
03601,30017
03602,30010
03603,30002
03604,30010
03605,30017
03607,30010
03608,30010
03609,47011
03740,30025
03741,30013
03743,30002
03745,30002
03746,30002
03748,30013
03749,30013
03750,30013
03751,30017
03752,30017
03753,30013
03754,30017
03755,30013
03756,30013
03765,30025
03766,30013
03768,30013
03769,30013
03770,30013
03771,30025
03773,30017
03774,30025
03777,30013
03779,30025
03780,30025
03781,30013
03782,30017
03784,30013
03785,30025
03801,30022
03802,30022
03803,30022
03804,20033
03809,30024
03810,30024
03811,22022
03812,30019
03813,30019
03814,30024
03815,30023
03816,30024
03817,30019
03818,30019
03819,30007
03820,30006
03821,30006
03822,30006
03823,30006
03824,30006
03825,30006
03826,22022
03827,30007
03830,30024
03832,30019
03833,30007
03835,30023
03836,30024
03837,30011
03838,30019
03839,30023
03840,30022
03841,30005
03842,30007
03843,30007
03844,30007
03845,30019
