date,ak,al,ar,as,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy
2022-05-01,4848.794897910619,21972.796626976582,17687.25121128687,777.6286255216835,66691.18050580131,440087.9403897145,60107.23368593378,43535.02604791899,14280.607567963869,12842.064751582351,187416.00279085012,65619.82947517652,1720.2223289252893,17861.791941076095,30659.322115960633,9745.46114028255,0.0,36553.50417320289,23663.887093358273,25159.37597617018,20502.667214215264,90238.04211944985,71349.94596543639,23275.41814364733,78607.72209370937,65210.58896058653,36928.21606763623,0.0,14113.573514055754,7631.977989353156,78019.5668111706,2568.779099314892,18760.470749063985,17353.46697490575,84419.12299953803,22016.721723000675,20907.065363328507,177883.89867092064,84500.30363619098,22791.034715105496,54320.99656903555,348355.51263530675,46198.44686007684,11772.084117770379,1284.9525277436612,9014.467693930626,41441.73813858194,572311.3017315364,25648.135360381533,78078.02866179639,1242.6490247695715,9437.986116277743,78329.5139173884,54262.47378934998,11665.2714541721,3231.1634656282345
2022-05-02,5178.89312176147,21750.512703708864,19424.881553165662,567.8201293682926,65269.65408420866,426454.1679929257,55962.68825194318,42947.28480410566,15235.999128060248,14524.600329583207,185867.07879362322,70126.13308479464,1817.0109432895515,18486.4322630198,28982.786862867142,10009.17199894691,0.0,38454.05646013445,23773.818835187052,24357.40246331138,19879.378679457855,89933.77943095414,72399.66045182831,23286.59498793045,79267.63704237393,65281.89323298651,43678.28032428756,63.81477032140128,16362.489667253978,7493.632967913712,78436.17734989195,2287.1640140964514,16232.136994210714,19723.148936302074,85223.08944458274,22470.320849390824,21002.858211980198,180886.51320669916,84284.02366397718,22671.9672374556,55571.19926100795,362894.2541540997,43093.85571383709,11918.07688036561,77676.59414567903,9251.632175708552,40969.495247840045,572994.233054087,26104.161431296485,77874.04399668118,1180.4488851168492,9616.446912147641,79763.04994280811,59633.433495616875,11772.093039475269,3264.501883073481
2022-05-03,5196.65811233333,20773.453225878355,20590.413236623543,339.6891970400978,64005.34889353602,408892.97888911987,51582.12011185784,41852.53130652403,14709.192742182926,16287.511566756688,180346.68543897453,73984.45462158677,1790.195612137948,18761.864068775103,26938.919037477146,10385.961740158808,0.0,38711.42438113772,23477.717400948557,22745.61001431965,18972.015825586277,88914.89626398824,72730.0885653248,22876.252121653677,80013.96108873202,64004.35749941706,49134.50778058776,115.64399700243149,17489.168246480593,7814.928175026308,77002.42210349721,1956.5477870963061,16563.62573692097,20753.329764826984,85446.5053360584,22373.38440693176,20618.75212938404,179126.87645514603,83632.58420954236,22118.411915054563,55600.85857456363,360990.6816571562,38628.67508782508,11738.453613929778,153199.43762525034,9543.929770314575,39163.11964294803,566993.1048752833,26181.02229444431,77340.61848459125,1102.693931461933,9590.789676481936,80652.88534756612,62918.6316836519,11522.317903911726,3113.689848828212
2022-05-04,5097.038864795033,20870.12360714079,22595.462625143016,299.44244254309115,63773.20225419627,421362.1321602157,51363.57242838365,41466.37581634208,73760.4649876964,15079.245854844316,157550.2949590851,69942.47767340636,1858.6197313476223,18882.015739922197,26683.538988905857,10869.921367664707,0.0,38781.22862846824,23194.38184529985,23680.56959431364,19311.467526009466,89182.12577250961,71978.3259495266,22476.520752741257,87778.42489853922,64577.427901172676,49262.943049733905,248.9488593257792,13900.271476437847,7862.976771341724,76938.08602367545,1933.3622867279737,15627.3335284926,22226.570925501394,85317.04464077778,22734.738482084464,20641.73815550621,175677.19483564718,83807.36950864729,22170.126349398823,56023.4249080241,364004.8988995604,40614.78018875749,11468.925323421281,153313.50054124193,9615.053653535253,38917.77580555492,206481.76635518373,27361.647466876613,80188.67091410735,945.2351675912882,9467.320141566062,79521.1032235336,63030.9559246658,11327.877614861884,3054.553536551058
2022-05-05,5090.0595628145675,20371.99517874387,21974.054888298742,1098.9679099915174,65872.1712999142,415016.7238014611,51961.51680666938,41471.32882734459,76332.22052327156,11408.429332705882,173380.06380766808,62581.58000155143,1363.6754670466385,19192.264490455105,26842.762267333295,10617.037694824006,0.0,38945.86357825003,23053.926290081767,22782.96512777784,19351.317922934046,88722.41981462452,69569.72704029594,22175.40339284814,82402.0551350061,63066.485798560134,35732.52955875323,283.6990662150616,14350.94262906211,10096.307227250609,70464.97641614493,1964.0843794258392,13482.232488511632,20615.877633432945,83451.2431812476,19571.965188021575,21130.10314935809,164779.1120428638,82983.60992127564,21313.305345723067,55482.91420730743,146759.44350225932,47980.923754032316,11622.044845170536,153704.19464897126,8497.455922668512,39379.29874388411,203897.4323492473,36476.3132565128,80668.11292976803,857.4032554087822,9379.195347410598,80704.68696069227,61989.337979332035,9449.574381296348,2943.8741273602495
2022-05-06,5729.187394496166,19271.528236945698,14456.37943779516,1015.2126559861083,65462.09461129726,405717.0027773606,51435.06115631728,40127.58312235712,72609.32161980688,10193.170830395295,168294.27112520713,63155.14996806744,1492.7167999281626,19331.950351561223,25325.017887280905,9991.11884963671,0.0,37937.895714949605,22590.437190581477,22961.532972498127,19302.29742202796,87807.38573320834,64007.98315691149,21894.46010334529,78004.11737721425,62522.058539687816,34540.02274626638,306.19419801608484,13255.608758819699,10426.01114817421,68183.90742011013,34089.815178004224,10626.30446176351,19172.677682248777,81739.32532505729,22179.973730756195,20855.58764371342,158191.06381902704,81354.3208857329,21091.770133676662,54245.012740829006,125595.65639072572,44692.726931626516,11258.278493449841,153533.67362870643,9496.37288502473,38902.4020047047,201227.64058030318,34551.34287173519,81752.38521233945,859.0737226437506,9537.405423145687,81439.58900436206,59868.48193609061,11292.197698692906,2958.5646363458886
2022-05-07,4716.063845123956,16211.272638793822,14596.044810513034,1010.9201039709694,62307.38619938421,397448.38658004114,51762.21542066911,39640.52027937396,51823.37707159797,9729.227983705521,149881.79023336814,66569.655925012,2301.039693805076,19057.10037182275,25378.95744211581,24466.670146179928,0.0,37485.445970192435,22208.484919368602,22181.597850086135,18556.659325189412,87388.41484317338,61768.02075331536,21615.57390816506,77080.69590124078,62465.65260126643,34598.45572632327,317.4661425207128,13488.922033709605,10033.619836082315,69400.93015464392,33848.04870840617,13638.412269117938,23487.293741792717,79203.12228525901,22102.22187339943,20571.543331557255,149937.63351592625,80773.94304037082,20761.32672590188,52254.73994829206,122284.41367468405,26367.37499353493,11317.21024340425,153399.08224829804,9165.383548322245,39364.91804135759,203287.94720432247,7630.523538856282,81769.73319764373,961.392608530076,9456.690467276414,81342.73330438112,63266.787312053595,11240.18612079797,2988.1358327918974
2022-05-08,3557.7854916713527,13182.240514246172,14428.231762761248,979.198150821383,59000.202398826055,389244.679851084,51741.28089838746,38798.235030481046,29449.456462396633,9190.264212341943,132271.25234626478,69180.37089064339,2225.5239070573343,18612.59046426402,25072.65456439281,23952.07494316665,0.0,37062.22321623382,21616.86008458278,21377.603255010687,17839.957507123192,86591.36574414787,59592.17425877593,21197.665460980035,76050.0207570588,61848.81695804037,34450.59882365991,321.94460733989365,12865.205331795538,9953.641827310548,71112.42259888323,33217.50219914467,15114.492994559792,27040.44381222207,77188.13733645687,21907.816273341083,20026.93821596207,142885.92810242527,79994.68750924733,20236.647481551856,50026.66029196797,118904.9211883163,26934.428748967875,11206.071209691278,153099.1960427642,8602.808296116298,39367.09658557448,205190.12209052805,7065.225633464335,81544.25640966216,1087.9571194547032,9246.105483177616,80845.05870392377,65886.43702475852,11098.657659971444,2846.2478537395673
2022-05-09,2728.844973320629,10623.874672400354,14762.158828818658,979.1060609107315,56599.70320556877,381645.0770096418,52126.67372623295,38451.55545947888,9477.579888953192,9203.327147665617,116475.04564356418,72649.67867476952,2334.7180524086366,18862.674346499578,25134.244587787452,25174.171494387607,0.0,36959.85321750416,21105.582455992087,21003.102344308016,17458.04084608874,86292.46827961848,57992.01688581748,21511.20749415115,76249.93396200698,62074.401368938044,34794.14228016469,358.42629330520384,13002.975470658184,9799.32885746478,73698.98976915474,33857.829673796936,15040.871949376964,31126.302234200604,75705.0502396926,22219.936840646515,19983.4097299471,138089.4973897139,79323.06967466894,20125.669719970247,48364.78847307661,116885.5973172602,29113.15971423763,11501.173038916855,153622.1021660369,8496.809427986207,39660.00085646675,207679.79514074497,7098.025951643074,81674.19328486561,1258.3663032763773,9411.651288876432,80856.79159849253,69345.99524977057,11515.118100822358,2974.4706748527
2022-05-10,2477.910083038134,10147.138349062063,14213.63981529838,1007.4211043646328,62322.68869649244,372771.3382646682,49877.59765595885,38077.230492884824,9123.785661191638,6109.39367436998,118770.74824939868,55189.19434638876,2252.5706719826735,17425.8104739667,23431.152762629365,29420.867457033335,0.0,36127.64667280052,20639.93921946303,21450.21020391863,17303.245867262827,84268.48135394441,57171.02465323584,21163.678342101106,75145.78333665022,61887.25648994998,33678.10689726667,226.46949412976167,12644.30151808417,7410.093941828278,75582.0336526355,34108.81700882331,15348.03296788877,32199.470648972063,71932.802103858,21462.716562917365,18870.65144970264,137496.43970725266,78561.27011299747,19381.937796087117,45883.066496779895,116229.7396012366,30719.049805755043,11150.405716791176,149556.33442171218,7923.88975440981,39303.0531137866,201710.40880895188,7129.044010181855,82197.79734525044,1176.011347117647,9140.401679495737,82184.02934440636,69002.35193056834,11574.570990618065,2934.2188242461257
