item,description
intro1_eu,participation EU
intro2_eu,data share EU
intro1_noneu,participation nonEU
intro2_noneu,data share nonEU
A1,18yrs+
A2,country/region
A2_2_1,country/region
A2_2_2,administrative region
B0a,ever had covid
B1,symptoms 24h
B1_1,fever 24h
B1_2,cough 24h
B1_3,difficulty breathing 24h
B1_4,fatigue 24h
B1_5,stuff runny nose 24h
B1_6,aches muscle pain 24h
B1_7,sore throat 24h
B1_8,chest pain 24h
B1_9,nausea 24h
B1_10,loss of smell taste 24h
B1_11,eye pain 24h
B1_12,headache 24h
B1_13,chills 24h
B1_14,changes to sleep 24h
B1b,symptoms unusual
B1b_x1,fever unusual
B1b_x2,cough unusual
B1b_x3,difficulty breathing unusual
B1b_x4,fatigue unusual
B1b_x5,stuff runny nose unusual
B1b_x6,aches muscle pain unusual
B1b_x7,sore throat unusual
B1b_x8,chest pain unusual
B1b_x9,nausea unusual
B1b_x10,loss of smell taste unusual
B1b_x11,eye pain unusual
B1b_x12,headache unusual
B1b_x13,chills unusual
B1b_x14,changes to sleep unusual
B2,how many days
B3,community sick 
B4,community num sick
B5,spent time with sick
B6,tested ever
B7,tested since symptoms
B8,positive test
B8a,most recent test positive
B9,pay for test
B10,reduce spendings for test payment
B11,wanted test
B12,reasons not tested
B12_1,not tested: not able
B12_2,not tested: dont know where
B12_3,not tested: cant afford
B12_4,not tested: no time
B12_5,not tested: unable to travel
B12_6,not tested: worry negative consequences
B13,med services needed but denied 30d
B13_1,needed but denied: emergency transportation 30d
B13_2,needed but denied: medical care overnight 30d
B13_3,needed but denied: medical care not overnight 30d
B13_4,needed but denied: preventive health services 30d
B13_5,needed but denied: medication 30d
B13_6,needed but denied: protective equipment 30d
B13_7,needed but denied: health product 30d
B14,reasons test denied
B14_1,denied: dont know where
B14_2,denied: couldnt afford
B14_3,denied: unable to travel
B14_4,denied: afraid of infection
B14_5,denied: not available 
B15,test reasons 14d
B15_1,test reason 14d: felt sick
B15_2,test reason 14d: contact 
B15_3,test reason 14d: while receving med. care
B15_4,test reason 14d: employer/school requirement
B15_5,test reason 14d: travel requirement
B15_6,test reason 14d: private visit caution
B15_7,test reason 14d: none of above
C0a,activities 24h
C0a_1,gone to work 24h
C0a_2,gone to market 24h
C0a_3,gone to restaurant 24h
C0a_4,spent time outsider 24h
C0a_5,attend public event 24h
C0a_6,public transit 24h
C0a_7,none of above 24h
C0,activities 24h
C0_1,gone to work 24h
C0_2,gone to market 24h
C0_3,gone to restaurant 24h
C0_4,spent time outsider 24h
C0_5,attend public event 24h
C0_6,public transit 24h
C1_m,direct contact outsider 24h
C2,num outsider contact 
C3,health clinic/hospital 7d
C4,washing hands after public 7d
C5,wear mask in public 7d
C6,days spent with outsider 7d 
C7,num washed hands 24d
C8,soap  + water access
C9,flu vaccine june2020
C9a,flu vaccine
C10,intend flu vaccine jan2021
C11_no,reasons no flu vaccine
C11_no_1,not intend: cost
C11_no_2,not intend: inconvenience
C11_no_3,not intend: unsure where
C11_no_4,not intend: not important
C11_no_5,not intend: havent in past
C11_no_6,not intend: unsure why
C11_no_7,not intend: other
C11_unsure,reasons flu vaccine unsure
C11_unsure_1,unsure:cost
C11_unsure_2,unsure:inconvenience
C11_unsure_3,unsure:unsure where
C11_unsure_4,unsure:not important
C11_unsure_5,unsure:havent in past
C11_unsure_6,unsure:unsure why
C11_unsure_7,unsure:other
C12,flu vaccine june2019 to feb2020
C13a,situations mask worn 24h
C13a_1,wear mask: none of above 24h
C13a_2,wear mask: gone to work 24h
C13a_3,wear mask: gone to market 24h
C13a_4,wear mask: gone to restaurant 24h
C13a_5,wear mask: spent time outsider 24h
C13a_6,wear mask: attend public event 24h
C13a_7,wear mask: public transit 24h
C13a_8,wear mask: none of above 24h
C13,situations mask worn
C13_1,mask: work
C13_2,mask: market
C13_3,mask: restaurant
C13_4,mask: seen outsider
C13_5,mask: public event
C13_6,mask: public transit
C14,avoid contact
C14a,avoid contact 7d
D1,nervousness 7d
D2,depression 7d
D3,worried illness 
D4,food worries 
D5,financial worries
D6,reasons hh finance worries
D6_1,hh finance worries: income
D6_2,hh finance worries: healthcare costs covid
D6_3,hh finance worries: healthcare costs non covid
D7,paid work 7d
D7a,paid work 4w
D8,paid work pre feb 2020
D9,why stopped working
D10,main acitivity occupation
D10a,main acitivity occupation
E2,area type
E3,gender
E4,age
E5,num ppl slept hh
E6,num yrs education
E7,rooms for sleep
E7a,rooms used for sleep
E8,education
F1,own smartphone
F2_1,contact tracing app
F2_2,symptom tracking app
