geo_id,val,se,sample_size,effective_sample_size
01097,0,8.631546,6,4.792705
02020,0,16.3079682,3,2.0659859
04005,0,12.1503045,2.5566,3.1151232
04013,0,4.6396881,13,9.7765865
04019,0,3.6645066,14.999,12.6444018
05007,0,12.8974643,3,2.876731
05119,0,11.5294718,4,3.3367121
05143,0,16.3498432,3,2.0581333
06001,0,7.7490485,6.0021,5.4524051
06009,0,15.069762,2.9214,2.3179024
06013,0,7.6728812,6,5.5164569
06019,0,11.3948277,5.9938,3.3879558
06027,0,15.1499346,3.6576,2.3003443
06037,0,4.1692326,15,10.9926146
06041,0,9.1899015,6,4.4407547
06057,0,15.6718133,3,2.1904413
06059,0,14.0124569,3,2.5682536
06065,0,5.69103,9,7.7857558
06071,0,8.2082229,7,5.0914525
06073,0,7.7949267,7,5.4144285
06077,0,11.1841855,4.9979,3.4705982
06079,0,10.2828207,5,3.862479
06083,0,13.9132301,3,2.5937018
06085,0,10.3459628,4,3.832803
06093,0,13.6520437,3,2.6624553
06097,0,7.5006858,8,5.6660571
06111,0,5.8166254,8,7.5960496
08014,0,15.3304857,2.4678,2.2614753
08035,0,14.3160297,3,2.4925884
08041,0,9.0775224,5,4.5081109
08059,0,12.6883815,2.5229,2.9406129
08069,0,14.0318589,3.3917,2.5633197
08077,0,9.7066347,7,4.1511158
09003,0,10.2267248,4,3.8891508
09009,0,11.4122547,3.9974,3.3812552
09011,0,11.397195,4,3.3870444
10003,0,13.0667531,5,2.8265053
12001,0,11.1614441,3.761,3.4797071
12019,0,11.3274278,5,3.4140648
12021,0,15.7492025,2.9904,2.1747639
12023,0,14.2001586,2.664,2.5210874
12057,0,9.4242402,4.431,4.3054675
12071,0,5.8908098,9.0096,7.4877974
12083,0,8.4101227,5.3544,4.9452164
12086,0,12.7321281,3,2.9270733
12087,0,14.2589144,3,2.5065783
12091,0,10.873454,5,3.5983549
12095,0,11.9628072,3.7601,3.179621
12099,0,11.8715576,3.93,3.2117472
12101,0,11.8877351,2.569,3.2060157
12103,0,5.2321942,11,8.5562203
12105,0,15.6197319,4,2.2010793
12109,0,10.5487083,4,3.7399168
12115,0,16.0686867,2.3515,2.111642
13121,0,6.4565118,7.9913,6.7441197
13135,0,14.8176641,2.1503,2.374351
13153,0,8.557054,4.9756,4.8431324
13201,0,15.1851482,2.643,2.292691
13215,0,13.9151031,3,2.5932181
16019,0,9.3538812,4.9025,4.3453747
16027,0,14.3453803,2.8815,2.4854426
17031,0,2.1390398,27.6961,22.3749743
17043,0,3.663327,14.0258,12.648795
17077,0,13.0855521,2.9889,2.8210081
17081,0,13.0578034,3,2.8291279
17089,0,9.3503255,3.6481,4.3474074
17097,0,8.5401073,6.5032,4.8547274
17105,0,10.6589445,5,3.690896
17111,0,16.1654346,2.0462,2.0930192
17119,0,11.6569294,3.7362,3.2892942
17201,0,10.6187916,4,3.7086337
18039,0,9.7721065,6,4.1166041
19013,0,10.5233758,3.9726,3.751327
19049,0,7.5976681,5.839,5.5809666
19061,0,13.6832168,2.9576,2.6541115
19123,0,13.2602453,3,2.7706693
19127,0,10.1006006,4.9974,3.9502007
20053,0,9.2494546,4.9968,4.4057241
21037,0,15.666352,3,2.1915535
21047,0,11.949228,4,3.1843707
21059,0,13.5780972,3,2.6824011
21117,0,9.1783347,5,4.4476113
21227,0,10.1284407,3.9148,3.936594
22019,0,13.0217243,2.6313,2.8397373
22055,0,13.0483648,4,2.8318978
22071,0,10.779494,4,3.6384366
24003,0,8.2265256,6.1284,5.0779
24005,0,9.3643267,5.0604,4.3394122
24025,0,12.6473901,3,2.9533848
24033,0,5.1801175,10,8.6522907
25013,0,11.3927625,5,3.3887512
25015,0,7.219031,7,5.9261373
25017,0,14.6992864,3,2.4015257
25023,0,5.5601838,10,7.9925085
25027,0,4.3354156,12,10.5329196
26007,0,13.9286338,3,2.5897275
26009,0,13.0086158,3,2.8436065
26021,0,13.5655257,2.914,2.6858137
26075,0,16.4262671,2.0556,2.0439052
26081,0,7.6641934,7,5.5238437
26091,0,12.5690867,3,2.9780138
26115,0,13.0498106,4,2.8314732
26125,0,5.2197069,8.5068,8.579082
26159,0,9.6974537,4.086,4.1559926
26161,0,10.9264203,2.1866,3.5760641
26163,0,5.589996,9.3212,7.9445502
27053,0,11.0316362,5,3.5324192
27123,0,6.8300978,7.7846,6.3205394
27137,0,10.7930277,4.8899,3.6326204
28091,0,16.4843712,2.0196,2.0331761
28149,0,12.446891,3.9991,3.0170674
29077,0,10.2696358,5,3.8687218
29095,0,10.3840206,5,3.8150906
30017,0,14.1062385,2.9856,2.544531
31055,0,8.3635018,6,4.978357
32031,0,9.664773,5,4.1734272
33011,0,13.7371523,3,2.6397645
33015,0,6.7221619,8,6.4380833
34017,0,4.3985825,12,10.3672984
34021,0,9.4693415,5,4.2801982
34025,0,8.2560341,6,5.0561765
34027,0,13.4828989,3,2.7084013
34029,0,7.1692567,7,5.9742237
34031,0,11.5014663,4,3.3472718
35015,0,9.515769,4.9995,4.2544361
35049,0,11.0964416,4,3.505949
36001,0,12.7506415,5,2.9213713
36005,0,10.4611171,4,3.7796043
36017,0,12.8964346,2.9886,2.8770406
36029,0,8.3347296,7,4.9989949
36053,0,16.6502358,2.0114,2.0029605
36055,0,8.0230806,7.1768,5.2320201
36059,0,8.1807944,6,5.1118759
36065,0,10.5562689,5,3.736522
36069,0,11.5809357,3.9416,3.3174404
36073,0,15.6455931,2.9322,2.1957881
36081,0,8.9876156,6,4.5632108
36083,0,15.7962415,3,2.1653099
36087,0,14.7725919,4,2.3846464
36091,0,9.5636022,5,4.2281555
36101,0,11.7327333,4.2943,3.2615816
36103,0,12.9449702,3,2.862504
36119,0,15.7045767,3,2.1837853
36123,0,13.0166245,2.7057,2.8412416
37013,0,11.7430571,3.6712,3.257835
37021,0,13.0126284,2.9847,2.8424213
37061,0,12.6692504,2.7594,2.9465634
37067,0,13.3094905,4.3756,2.7567178
37081,0,6.6473222,8.1096,6.5218259
37085,0,12.7375606,2.9356,2.9253984
37109,0,10.6929408,3.9498,3.6759821
37183,0,6.7656181,6.8435,6.3903078
39007,0,9.7865518,5.002,4.1090518
39017,0,6.5538112,7.0326,6.6291487
39035,0,6.6376824,9,6.5327497
39099,0,11.4287545,4,3.3749299
39109,0,10.8540195,3.9872,3.6065884
39113,0,9.8002195,4.9598,4.1019266
39151,0,6.6118575,9,6.5621715
39153,0,11.753013,4.9895,3.2542283
39157,0,12.0938291,4,3.1343399
39165,0,9.8100417,4.9836,4.0968183
39173,0,14.6947636,2.535,2.4025726
40109,0,12.8667203,3,2.8859942
40143,0,6.2596565,9.2546,6.9876588
41005,0,12.7225887,3.0003,2.9300178
41029,0,15.2002855,2.0868,2.2894119
41039,0,8.7108441,5.9692,4.7399718
42003,0,5.6229903,10.1276,7.8920659
42011,0,11.8361421,4.0024,3.2243494
42017,0,11.063814,2.3712,3.5192372
42027,0,4.5359473,13,10.0230557
42029,0,5.9502404,10.0296,7.4030219
42033,0,12.0596799,4,3.146047
42041,0,14.4740578,3,2.4544563
42043,0,7.8490238,6,5.3702189
42049,0,15.2202631,4,2.2850943
42071,0,14.0392402,3,2.5614463
42075,0,7.597524,7,5.5810914
42077,0,12.1693737,4.5569,3.1086749
42079,0,9.7782251,4.9866,4.1134024
42091,0,5.801879,6.5992,7.6178978
42095,0,13.3287817,3.4407,2.7512806
42129,0,14.4483237,3.8724,2.4606091
42133,0,12.3944604,4,3.0340602
44003,0,8.7417326,5,4.7196899
44007,0,15.8486339,3,2.154846
45019,0,5.0732147,12.9896,8.8556838
45023,0,10.9719391,4.994,3.5570796
45031,0,9.6172303,5,4.1990021
45047,0,11.0900271,3.9804,3.5085552
46099,0,7.5647697,6,5.6095865
