geo_id,val,se,sample_size,effective_sample_size
10420,0,11.753013,4.9895,3.2542283
10580,0,4.8434469,13,9.3232267
10900,0,5.9597127,10.0028,7.3896661
11180,0,11.9174477,2.161,3.1955292
11260,0,16.3079682,3,2.0659859
11460,0,10.9264203,2.1866,3.5760641
11700,0,11.2535996,4.9998,3.4430228
12060,0,3.4909043,14.8759,13.3229362
12420,0,5.5562572,9.2927,7.9988635
12580,0,3.4955963,17,13.303711
13220,0,14.1690928,3,2.5288074
14260,0,11.3163046,3.9268,3.4184035
14460,0,2.5151343,25,18.8796541
14540,0,10.1284407,4,3.936594
15380,0,8.3347296,7,4.9989949
15940,0,6.6118575,9,6.5621715
15980,0,5.8908098,9.0096,7.4877974
16060,0,13.0855521,2.9889,2.8210081
16700,0,5.0724243,13,8.8572195
16740,0,6.1129385,9.1622,7.1793723
16980,0,1.0912865,56,44.8174827
17140,0,2.5629161,22.0162,18.5090269
17300,0,11.949228,4,3.1843707
17460,0,5.4069124,11.2179,8.2474219
17820,0,9.0775224,5,4.5081109
17980,0,13.3936393,3.0381,2.7331153
18140,0,12.086832,4,3.1367333
18580,0,11.5801806,3.9913,3.3177219
18880,0,10.873454,5,3.5983549
19100,0,3.4216031,15,13.6130334
19430,0,5.7256197,8.947,7.7326792
19740,0,5.5586637,9.9907,7.9949677
19780,0,5.3016193,9.839,8.4310807
19820,0,2.5243425,23.828,18.8071377
20220,0,13.6832168,2.9576,2.6541115
20260,0,10.7543849,5,3.6492664
21140,0,9.7721065,6,4.1166041
21340,0,10.3153506,5,3.847145
21500,0,15.2202631,4,2.2850943
21660,0,8.7108441,5.9692,4.7399718
22180,0,12.783883,2.9947,2.9111747
22220,0,8.6794846,6,4.7607107
22380,0,12.1503045,2.5566,3.1151232
22500,0,6.9906684,6.9704,6.1523919
22660,0,14.0318589,3.3917,2.5633197
23420,0,11.3948277,5.9938,3.3879558
23540,0,11.1409997,4,3.4879276
24300,0,9.7066347,7,4.1511158
24340,0,6.8622774,8.0898,6.2862109
24580,0,10.0873047,4,3.9567255
24660,0,4.8717545,10.9934,9.263243
25060,0,12.5628349,4,2.9799934
25420,0,5.9367949,9,7.4220527
25540,0,10.2267248,4,3.8891508
25860,0,14.8347383,2.8378,2.3704673
26420,0,4.0603997,15,11.3140587
26580,0,7.2727015,6.9964,5.8750243
26820,0,9.3538812,4.9545,4.3453747
26900,0,13.3146361,3,2.755266
27100,0,16.4262671,2.0556,2.0439052
27260,0,5.5021508,10,8.0873555
27500,0,15.8141168,2.0812,2.1617321
27740,0,7.4938285,7,5.672157
28140,0,8.8822635,6.0178,4.6291957
28660,0,15.7874438,2.996,2.1670738
28700,0,16.1487141,2.6662,2.0962218
28940,0,8.6809577,5.075,4.7597332
29180,0,13.0483648,4,2.8318978
29340,0,13.0217243,3,2.8397373
29460,0,15.6197319,4,2.2010793
29540,0,14.0392402,3,2.5614463
30140,0,7.597524,7,5.5810914
30460,0,13.6827122,3,2.6542463
30780,0,11.5294718,4,3.3367121
31080,0,3.4564992,18,13.4655032
31180,0,6.0271273,8.901,7.2958261
31340,0,11.4500133,3.8751,3.3668071
31540,0,8.0623628,5.1921,5.2016559
31700,0,13.7371523,3,2.6397645
32780,0,15.2002855,2.0868,2.2894119
33100,0,6.1192359,8.93,7.1709548
33340,0,8.9671311,6,4.5759194
33460,0,3.2943517,18,14.1774931
33660,0,8.631546,6,4.792705
33780,0,13.0498106,4,2.8314732
34940,0,15.7492025,2.9904,2.1747639
34980,0,10.9186913,4,3.5793034
35300,0,11.4122547,3.9974,3.3812552
35380,0,10.779494,4,3.6384366
35620,0,0.9373457,65,52.3421148
35660,0,13.5655257,2.914,2.6858137
35840,0,12.6351512,4.0009,2.9572142
35980,0,11.397195,4,3.3870444
36100,0,8.4101227,5.3544,4.9452164
36260,0,9.8180163,5,4.0926784
36420,0,10.2726634,4,3.8672869
36540,0,6.6629144,8,6.5042237
36740,0,11.6222687,4,3.302086
36780,0,9.9234714,4.9943,4.0385594
36980,0,13.5780972,3,2.6824011
37100,0,5.8166254,8,7.5960496
37620,0,15.554574,3,2.2144885
37980,0,2.7424928,26.0368,17.2315884
38060,0,4.2110651,14.001,10.8734807
38300,0,4.4934542,14,10.127297
38900,0,6.0365826,8,7.2828321
39100,0,13.1100633,3,2.8138641
39300,0,5.2713982,10,8.4851496
39580,0,6.4083589,7.1674,6.8023096
39740,0,11.8361421,4.0024,3.2243494
39900,0,9.664773,5,4.1734272
40060,0,5.8927436,10.0251,7.485012
40140,0,3.6336905,16,12.7601151
40380,0,3.1909721,18.7479,14.6692063
40420,0,10.6187916,4,3.7086337
41180,0,6.4441653,8,6.7589568
41620,0,8.5945285,6,4.8176548
41700,0,4.3605004,13,10.4665739
41740,0,7.7949267,7,5.4144285
41860,0,2.6964477,22.0021,17.5429149
41940,0,10.3459628,4,3.832803
42020,0,10.2828207,5,3.862479
42140,0,11.0964416,4,3.505949
42200,0,13.9132301,3,2.5937018
42220,0,7.5006858,8,5.6660571
42540,0,9.7782251,4.9866,4.1134024
42660,0,4.2988603,15,10.6309897
43580,0,14.0518341,2.0995,2.5582544
43620,0,7.5647697,6,5.6095865
44140,0,4.8467161,12,9.3162634
44180,0,10.2696358,5,3.8687218
44300,0,4.5359473,13,10.0230557
44700,0,11.1841855,4.9979,3.4705982
45060,0,10.2435584,4.0114,3.8811163
45300,0,3.5325651,18,13.1540207
45780,0,9.045634,4.9895,4.5275285
45940,0,9.4693415,5,4.2801982
46060,0,3.6645066,14.999,12.6444018
46140,0,4.9903892,11.9449,9.0192586
46540,0,10.5562689,5,3.736522
47260,0,4.3234705,11,10.5647835
47580,0,8.5460733,5,4.8506402
47900,0,3.0049984,18.0088,15.6389438
47940,0,10.5429324,3.998,3.7425136
49180,0,12.2019377,5.4759,3.0977098
49340,0,4.3354156,12,10.5329196
49620,0,12.3944604,4,3.0340602
49660,0,7.8427216,6,5.3753379
