geo_id,val,se,sample_size,effective_sample_size
1,0,4.5197577,12,10.06254
2,0,7.8442798,6,5.3740714
5,0,2.2038356,25,21.6877176
6,0,2.2025975,26,21.7004711
7,0,16.0721825,3,2.1109652
9,0,7.0657849,7,6.0763546
10,0,4.8264329,12,9.3596178
11,0,1.5851075,41,30.543602
12,0,3.1722752,18,14.761558
14,0,16.6666667,2,2
15,0,1.6239067,35,29.7899472
16,0,5.1764911,11,8.6590526
18,0,12.0195878,5,3.1598764
19,0,3.1393333,17,14.9269488
21,0,3.4802972,18,13.3665892
23,0,3.091917,19,15.1711974
25,0,2.4604343,25,19.3216153
33,0,3.4922764,17,13.3173087
43,0,4.0453212,16,11.3599581
56,0,1.0401579,61,47.0696226
58,0,5.2578251,10,8.5096355
62,0,5.9806869,9,7.3602437
65,0,3.0426768,17,15.4328986
69,0,9.3771423,5,4.3321149
73,0,6.4413972,9,6.7622911
77,0,2.8081374,21,16.8053965
78,0,8.3440683,5,4.9922808
79,0,1.7894191,33,26.9420282
80,0,2.0553331,28,23.3269571
81,0,3.045997,22,15.4149864
82,0,2.8870123,21,16.3189424
83,0,4.8356556,11,9.3398596
85,0,3.1364915,17,14.9413789
86,0,3.4915696,15,13.3202072
87,0,12.7090039,3,2.9342186
89,0,4.4175449,14,10.3185041
91,0,3.9087236,15,11.7918997
96,0,1.6612229,35,29.0983091
101,0,6.086384,9,7.2150584
102,0,3.2775973,18,14.2550771
103,0,1.4639119,44,33.1550616
104,0,6.8684272,7,6.279687
105,0,4.0687391,16,11.2888194
106,0,5.0567842,14,8.8877069
107,0,15.760534,3,2.1724813
109,0,5.3641903,9,8.3210713
110,0,2.011558,29,23.856355
111,0,1.3639547,46,35.6581092
112,0,5.3406146,13,8.3622183
113,0,1.6566035,36,29.1822366
115,0,9.4305739,6,4.3019043
116,0,3.3942694,18,13.7307105
118,0,2.6879273,21,17.6016938
119,0,1.7706551,35,27.2381363
120,0,2.7089178,22,17.4575554
122,0,5.2810749,10,8.4677695
123,0,1.6460743,37,29.3753003
124,0,7.2510985,8,5.8955069
127,0,4.1835099,13,10.9516869
129,0,2.629825,22,18.0126719
130,0,1.7120601,38,28.2045819
131,0,11.2063253,4,3.4617659
133,0,11.5016824,4,3.3471901
134,0,3.3752301,17,13.8138049
137,0,4.3620554,13,10.4624863
139,0,7.1346561,7,6.0080463
140,0,2.3219358,26,20.5337567
141,0,1.9456845,30,24.697897
142,0,10.6201458,6,3.7080333
144,0,0.9337122,64,52.5496927
145,0,6.6698798,8,6.496387
146,0,7.6634862,6,5.5244458
147,0,3.0949284,19,15.1554627
149,0,2.629925,22,18.0119489
150,0,5.0977014,11,8.8083423
151,0,3.3951659,16,13.726821
152,0,6.0292136,9,7.2929554
154,0,5.49788,10,8.0944145
155,0,4.1480694,14,11.0538002
156,0,2.0666298,29,23.1939805
158,0,4.2690889,13,10.7121009
161,0,4.4868992,14,10.1435532
163,0,3.4880564,15,13.3346305
164,0,5.4527561,9,8.1696747
166,0,2.0854112,28,22.9760871
170,0,3.0521562,21,15.3818614
171,0,2.6178006,24,18.1000031
172,0,2.9647284,20,15.8649513
173,0,9.0775974,5,4.5080654
175,0,4.857282,13,9.2938228
179,0,3.8877693,15,11.8608454
180,0,6.4711356,8,6.7266191
181,0,3.0814913,19,15.2259099
183,0,2.5655893,21,18.4886996
186,0,11.643792,4,3.2941337
187,0,2.9439477,21,15.9839972
188,0,4.1690989,14,10.9929992
190,0,6.7747645,9,6.3803303
191,0,5.0580678,13,8.8851976
192,0,1.3629759,45,35.6844356
193,0,8.3905495,7,4.9590853
194,0,7.9431316,6,5.2947465
196,0,6.8338674,7,6.3165014
197,0,10.5444811,4,3.741817
200,0,3.5622065,15,13.0362441
201,0,2.7861817,20,16.9457067
203,0,5.8572522,9,7.5364261
204,0,2.3394808,28,20.3722631
205,0,3.595242,16,12.9072698
207,0,10.6782821,4,3.6824011
208,0,8.1122134,6,5.163546
209,0,7.8292173,7,5.3863344
210,0,5.2708942,11,8.4860564
212,0,9.8489807,5,4.0766675
213,0,6.5110189,9,6.6792896
214,0,5.9915511,9,7.3450845
216,0,5.4630844,10,8.1523389
218,0,4.7145052,11,9.6055669
219,0,8.7734296,5,4.6990256
221,0,4.6432298,14,9.7683664
222,0,2.3221581,25,20.531695
223,0,2.9017948,19,16.2307151
225,0,3.8741011,16,11.9062197
