geo_id,val,se,sample_size,effective_sample_size
10180,0,7.15106,6,5.9919704
10420,0,1.9452473,31.7159,24.7036723
10500,0,10.1499188,4.96,3.9261478
10540,0,13.5166364,2.6569,2.6991452
10580,0,1.9794987,32.0768,24.2589203
10740,0,8.4959763,7,4.8851388
10780,0,14.6147109,3.9716,2.4212103
10900,0,1.6974243,35.8647,28.4563949
11100,0,8.5401662,6.7934,4.854687
11180,0,4.6584835,10.1121,9.7331066
11260,0,5.9806889,9,7.3602409
11460,0,4.8920826,6.5474,9.220596
11540,0,5.7938109,4.6395,7.6298985
11700,0,4.0935187,14.9998,11.2144306
12060,0,1.0175182,56.7265,48.1391691
12100,0,9.6162043,3.7354,4.1995568
12260,0,6.2010498,8.1842,7.0631509
12420,0,1.733733,34.1968,27.8395046
12540,0,2.3445859,25.9931,20.3257278
12580,0,1.9576522,31,24.5407977
12620,0,6.7737686,7.9069,6.3814154
12700,0,10.6387671,4,3.6997927
12940,0,4.5717472,12.1828,9.9367376
13140,0,9.8443205,5.9542,4.0790707
13220,0,6.2569541,7.7552,6.9911086
13460,0,12.5,3,3
13740,0,12.2899823,3.9994,3.0683541
13780,0,6.455972,5.6109,6.7447672
13820,0,6.9836803,7.8939,6.1595488
13900,0,12.5,3,3
14010,0,6.3621335,9,6.8589989
14100,0,11.0755251,2.0294,3.5144586
14260,0,3.5754042,14.9268,12.984433
14460,0,0.9742745,66.0148,50.320241
14500,0,4.2905944,10.0186,10.6533971
14540,0,8.1143852,6.0002,5.1618963
14740,0,10.2212549,5,3.8917672
14860,0,3.2285841,15.0006,14.4866651
15180,0,10.5693115,5,3.7306771
15380,0,1.6285122,37,29.7028716
15540,0,10.509242,4,3.7577171
15680,0,12.1219129,5,3.1247615
15940,0,3.1033418,19.1543,15.1116641
15980,0,2.9976197,19.0158,15.6799013
16020,0,12.5430957,2.0004,2.9862568
16060,0,8.6583273,4.9889,4.7747875
16220,0,16.6666667,2,2
16300,0,6.775118,8.9987,6.3799453
16540,0,6.8728566,6.885,6.2749954
16580,0,9.0775974,5,4.5080654
16620,0,11.0507811,4,3.524567
16700,0,2.1538437,29,22.2143119
16740,0,2.2903535,28.5658,20.8306914
16820,0,13.7880313,2.3954,2.6263335
16860,0,6.7075575,9.0606,6.4542782
16940,0,13.9195676,3,2.5920656
16980,0,0.3739957,172.0636,132.6913718
17140,0,1.1692827,53.0167,41.7612572
17300,0,11.949228,4,3.1843707
17460,0,1.6120516,39.2128,30.0163765
17780,0,13.8167691,3,2.618791
17820,0,2.9702093,20,15.8338304
17900,0,2.5152285,21.6805,18.8789094
17980,0,7.502615,6.0381,5.6643431
18140,0,4.3916666,13.0078,10.3851994
18580,0,3.7142023,15.8771,12.4618409
18700,0,15.39478,2.3431,2.2478541
18880,0,6.8831095,8,6.2641588
19100,0,0.9211615,67.1039,53.2792967
19140,0,7.3372153,5.948,5.8145745
19300,0,15.2340042,3,2.2821312
19340,0,5.0812068,10.5921,8.840182
19430,0,2.9049116,18.9294,16.2122279
19460,0,9.6323584,4.9803,4.1908367
19500,0,14.5812098,3,2.4290707
19660,0,5.6667388,9.9164,7.8234171
19740,0,1.4546789,43.9944,33.3718475
19780,0,2.4154194,22.8879,19.700339
19820,0,0.7207139,89.559,68.3756544
20020,0,8.1140149,4.0814,5.1621775
20220,0,8.3235264,5.9576,5.0070693
20260,0,7.2452643,8,5.9010595
20500,0,2.9026773,18.9409,16.2254764
20700,0,12.0752443,3.016,3.140703
21140,0,4.8133215,11.2564,9.3878372
21340,0,2.9355843,21,16.0323844
21420,0,16.6666667,2,2
21500,0,4.3373519,12.733,10.5277712
21660,0,7.1333348,7.9692,6.0093444
21780,0,4.0878589,11.0058,11.2313419
22020,0,10.1045458,3.9994,3.948268
22180,0,6.6359415,6.1178,6.5347259
22220,0,3.3505413,18,13.922962
22380,0,12.1503045,2.5566,3.1151232
22420,0,3.5310389,15.0308,13.1601384
22500,0,3.9539594,13.9704,11.6455522
22540,0,12.9548066,3,2.8595713
22660,0,7.8714421,6.6517,5.3520762
22900,0,7.3603372,6.0055,5.793167
23060,0,9.7658351,4.9675,4.1198898
23420,0,3.0853748,21.9907,15.2054869
23540,0,5.052645,10,8.895807
