geo_id,val,se,sample_size,effective_sample_size
01003,0,11.6764289,4,3.2821312
01051,0,16.6666667,2,2
01069,0,14.2270242,2.0804,2.5144384
01073,0,12.1907827,3.9798,3.1014594
01089,0,3.7545082,14.5377,12.3173235
01097,0,3.4248091,16,13.5993538
01101,0,13.389972,3,2.7341377
01103,0,11.7334997,4,3.2613032
01117,0,11.8985758,2.0202,3.2021836
01125,0,7.9208595,6,5.3124463
02020,0,7.8669191,7,5.3557283
02122,0,15.4441812,3,2.2374652
02170,0,16.6666667,2,2
04003,0,11.2498167,4,3.4445169
04005,0,12.1503045,2.5566,3.1151232
04013,0,1.0570961,58.6498,46.2993915
04019,0,1.523843,36.6862,31.811779
04021,0,4.1733746,9.664,10.9807122
05005,0,16.1840021,3,2.0894707
05007,0,3.7145183,14.0617,12.4606956
05009,0,9.4163467,4.9165,4.3099149
05033,0,7.4201311,6,5.7384254
05055,0,9.3264641,4.9937,4.3610885
05067,0,10.4401221,3.4138,3.789216
05115,0,13.6230888,2.1789,2.6702396
05119,0,6.438496,8,6.7657887
05143,0,9.5018793,4.9249,4.2621169
06001,0,2.8382637,17.0207,16.6164041
06009,0,15.069762,2.9214,2.3179024
06013,0,2.8076305,18.9951,16.808611
06015,0,12.2762361,4,3.0729096
06019,0,2.9060497,22.0005,16.2054869
06023,0,9.3021357,6,4.3751097
06027,0,9.4333495,5.572,4.3003443
06029,0,2.3445859,25.9931,20.3257278
06037,0,0.9155759,69.1942,53.6104359
06041,0,5.2120149,10.0204,8.5932188
06045,0,12.9995342,3,2.8462917
06047,0,9.249785,4.8625,4.4055311
06053,0,7.1507426,6,5.9922808
06055,0,9.0757094,6,4.5092112
06057,0,15.6718133,3,2.1904413
06059,0,2.1898764,25.9984,21.8323387
06061,0,6.7935891,7,6.3598799
06065,0,2.2679499,25,21.046342
06067,0,5.2052036,11,8.6057723
06071,0,3.3019438,17.0069,14.1425955
06073,0,1.8239922,31,26.4123973
06075,0,5.2724429,13,8.4832702
06077,0,3.2737717,17.9842,14.2729035
06079,0,3.9761498,14.0011,11.574979
06081,0,3.1735294,16.9842,14.7553289
06083,0,4.1695499,11.9827,10.9917022
06085,0,2.356006,25.0158,20.2223565
06087,0,7.7262922,6,5.4714094
