geo_id,val,se,sample_size,effective_sample_size
ak,0,4.4015566,13,10.3596178
al,0,0.8298389,75.0008,59.2526585
ar,0,0.9780788,64.0002,50.1206268
az,0,0.5344712,115,92.55041
ca,0,0.1273037,504,391.7616239
co,0,0.518713,127.9658,95.3924193
ct,0,0.6413903,94,76.9556579
dc,0,6.6044303,7,6.5706757
de,0,2.9775351,25,15.7924133
fl,0,0.1764727,366.0001,282.3298876
ga,0,0.4003356,154.9998,123.8952174
hi,0,3.4367757,17,13.5485201
ia,0,0.6681254,93.8089,73.8362533
id,0,1.712138,34,28.2032527
il,0,0.236921,275.9998,210.0408405
in,0,0.558113,114.0001,88.5875951
ks,0,0.9961938,59.9998,49.1910381
ky,0,0.6985955,91.0011,70.5721771
la,0,0.8490063,77,57.8923785
ma,0,0.5526215,117,89.4778443
md,0,0.7160902,88,68.8236072
me,0,1.7741933,39,27.1818226
mi,0,0.2314149,282.0001,215.062113
mn,0,0.6684013,102,73.8053633
mo,1.2179366,0.9418447,89,72.07056
ms,0,1.2290363,49,39.6822811
mt,0,2.1676497,27,22.066458
nc,0,0.274033,230.0007,181.4597613
nd,0,4.1958217,12.2563,10.916617
ne,0,1.3627864,43.0918,35.6895343
nh,0,1.075191,55,45.5033645
nj,0,0.4370278,138.9999,113.4091996
nm,0,2.5963166,23.9995,18.2580523
nv,0,1.1396163,51,42.8744149
ny,0,0.1828726,357.0001,272.4143236
oh,0,0.2499392,257.0005,199.0486168
ok,0,0.8696054,71.9996,56.4973448
or,0,1.093622,58,44.7196382
pa,0,0.1901547,339.0002,261.9438672
ri,0,2.3004171,26,20.7351891
sc,0,0.4470117,144,110.8539056
sd,0,2.4576053,23.8488,19.3450082
tn,0,0.5709114,106.9998,86.5792629
tx,0,0.168234,376.0006,296.2051213
ut,0,1.3647811,45.0339,35.6359115
va,0,0.2888013,215.049,172.1293888
vt,0,3.5497173,16,13.0856286
wa,0,0.5238706,115,94.4434226
wi,0,0.5580339,109,88.6002879
wv,0,1.1361688,53,43.0075443
wy,0,3.1059739,17.9945,15.0980103
