state,0.2,0.5,0.8,delta,lower_bound,upper_bound
01000,-2.0,0.0,2.0,6.0,-8.0,8.0
01001,-9.0,0.0,6.0,22.5,-31.5,28.5
01003,-56.0,5.0,43.0,148.5,-204.5,191.5
01005,-4.0,0.0,4.0,12.0,-16.0,16.0
01007,-8.0,-2.0,3.0,16.5,-24.5,19.5
01009,-14.0,2.0,12.0,39.0,-53.0,51.0
01011,-2.0,0.0,2.0,6.0,-8.0,8.0
01013,-4.0,0.0,8.0,18.0,-22.0,26.0
01015,-18.0,0.0,34.0,78.0,-96.0,112.0
01017,-9.0,-1.0,1.0,15.0,-24.0,16.0
01019,-4.0,1.0,9.0,19.5,-23.5,28.5
01021,-12.0,0.0,8.0,30.0,-42.0,38.0
01023,-2.0,0.0,4.0,9.0,-11.0,13.0
01025,-7.0,0.0,5.0,18.0,-25.0,23.0
01027,-5.0,0.0,2.0,10.5,-15.5,12.5
01029,-1.0,1.0,6.0,10.5,-11.5,16.5
01031,-9.0,0.0,11.0,30.0,-39.0,41.0
01033,-6.0,5.0,19.0,37.5,-43.5,56.5
01035,-3.0,0.0,4.0,10.5,-13.5,14.5
01037,-4.0,0.0,5.0,13.5,-17.5,18.5
01039,-6.0,4.0,15.0,31.5,-37.5,46.5
01041,-2.0,0.0,3.0,7.5,-9.5,10.5
01043,-11.0,-8.0,17.0,42.0,-53.0,59.0
01045,-6.0,2.0,24.0,45.0,-51.0,69.0
01047,-5.0,0.0,8.0,19.5,-24.5,27.5
01049,-7.0,5.0,20.0,40.5,-47.5,60.5
01051,-14.0,-3.0,10.0,36.0,-50.0,46.0
01053,-7.0,0.0,8.0,22.5,-29.5,30.5
01055,-17.0,0.0,20.0,55.5,-72.5,75.5
01057,-5.0,-1.0,8.0,19.5,-24.5,27.5
01059,-7.0,0.0,16.0,34.5,-41.5,50.5
01061,-6.0,1.0,8.0,21.0,-27.0,29.0
01063,-1.0,1.0,5.0,9.0,-10.0,14.0
01065,-6.0,-1.0,5.0,16.5,-22.5,21.5
01067,-4.0,1.0,6.0,15.0,-19.0,21.0
01069,-3.0,9.0,31.0,51.0,-54.0,82.0
01071,-8.0,-2.0,12.0,30.0,-38.0,42.0
01073,-90.0,-7.0,105.0,292.5,-382.5,397.5
01075,-4.0,0.0,8.0,18.0,-22.0,26.0
01077,-1.0,13.0,30.0,46.5,-47.5,76.5
01079,-5.0,1.0,6.0,16.5,-21.5,22.5
01081,-28.0,-5.0,13.0,61.5,-89.5,74.5
01083,-24.0,-7.0,18.0,63.0,-87.0,81.0
01085,-1.0,0.0,3.0,6.0,-7.0,9.0
01087,-3.0,-1.0,7.0,15.0,-18.0,22.0
01089,-20.0,16.0,80.0,150.0,-170.0,230.0
01091,-1.0,1.0,9.0,15.0,-16.0,24.0
01093,-7.0,-2.0,8.0,22.5,-29.5,30.5
01095,-15.0,0.0,20.0,52.5,-67.5,72.5
