state,0.2,0.5,0.8,delta,lower_bound,upper_bound
01000,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
01001,-55.96059813181664,-24.312830114113584,10.800966363787989,100.5,-156.46059813181665,111.30096636378799
01003,-91.69339767758817,-26.418884023377622,208.5103879716457,451.5,-543.1933976775881,660.0103879716457
01005,-6.650418424989138,0.44726337716109543,26.592781023405124,51.0,-57.65041842498914,77.59278102340512
01007,-4.879367853943444,0.44726337716109543,20.167725695143318,39.0,-43.87936785394344,59.16772569514332
01009,-24.369662649286486,-7.625006587415684,26.55352991640999,78.0,-102.36966264928648,104.55352991640999
01011,-2.38111998365203,-0.08260412420058061,2.174539421580426,9.0,-11.381119983652031,11.174539421580427
01013,-8.863646941003475,-2.979754003610703,9.846003754859012,28.5,-37.36364694100347,38.34600375485901
01015,-67.97948258971387,-18.208940518466544,39.67914181631323,162.0,-229.97948258971388,201.67914181631323
01017,-19.09245338956199,-3.034823419744423,37.61134183249146,87.0,-106.092453389562,124.61134183249146
01019,-12.455732067036129,-0.24781237260174183,33.16610226580705,70.5,-82.95573206703612,103.66610226580704
01021,-28.85599352336072,-14.981374142254099,40.2818640869115,105.0,-133.85599352336072,145.2818640869115
01023,-16.989363705815094,-5.987042715288267,1.0,27.0,-43.989363705815094,28.0
01025,-12.821873432755217,-5.333620285476485,7.616394917144866,31.5,-44.32187343275522,39.116394917144866
01027,-6.705487841122858,-1.8098801686199102,15.709070032276252,34.5,-41.20548784112286,50.20907003227625
01029,-7.407412142117335,-3.5646909211061,1.271682003268024,15.0,-22.407412142117334,16.271682003268022
01031,-14.97170186864562,-1.9475537089542112,74.93604169480695,135.0,-149.97170186864562,209.93604169480693
01033,-17.61150760498583,-4.253058622777605,76.50213431967993,142.5,-160.11150760498583,219.00213431967993
01035,-1.9714850975871934,0.22363168858054783,9.367040337635943,18.0,-19.971485097587195,27.36704033763594
01037,-1.3020404337117224,0.8737000943466628,1.1835709374540702,6.0,-7.302040433711722,7.18357093745407
01039,-12.689706834034286,0.502332793294816,28.038001939064518,63.0,-75.68970683403428,91.03800193906451
01041,-6.425055328261801,-1.390151499525675,1.0,12.0,-18.425055328261802,13.0
01043,-38.53170359762611,-20.995951565609225,107.90629627548854,220.5,-259.0317035976261,328.40629627548856
01045,-14.622502837187566,-0.24781237260174183,19.732536804546623,52.5,-67.12250283718757,72.23253680454663
01047,-9.546226694780994,0.30958983682679464,40.9887967387429,76.5,-86.046226694781,117.4887967387429
01049,-20.207257808419065,-9.214609091500712,43.8364612249882,97.5,-117.70725780841906,141.3364612249882
01051,-25.784244128221573,0.6258877217449195,36.67247853898168,94.5,-120.28424412822157,131.1724785389817
01053,-16.477358638911802,0.9771308785227719,24.4587708966533,63.0,-79.4773586389118,87.4587708966533
01055,-49.231142799417476,-10.439552342625229,61.915075345128514,168.0,-217.23114279941748,229.9150753451285
01057,-21.498284358904037,-6.344993920157451,0.45961887000610646,34.5,-55.99828435890404,34.9596188700061
01059,-12.375951665212387,-1.2524779591913737,23.59488357905542,55.5,-67.87595166521238,79.09488357905542
01061,-10.65114125553378,-7.680076003549405,3.5123047242089154,22.5,-33.15114125553378,26.012304724208917
01063,-8.92973024036394,-2.3948170861153066,2.448404389490456,18.0,-26.929730240363938,20.448404389490456
01065,-13.658647551707153,-6.489375508583083,11.506774990496954,39.0,-52.658647551707155,50.50677499049695
01067,-8.310269560429736,-4.177162546668356,8.381438291982656,27.0,-35.31026956042974,35.381438291982654
01069,-25.19514187873107,-2.1953660815559535,66.9110090731501,139.5,-164.69514187873108,206.4110090731501
01071,-27.796258520637366,-4.535113751537541,21.376007618287417,75.0,-102.79625852063737,96.37600761828742
01073,-279.88945275849267,-24.224220457523202,822.6197198114578,1654.5,-1934.3894527584926,2477.119719811458
01075,-4.248113693725457,-0.8052145820302785,2.8404578473775244,12.0,-16.248113693725458,14.840457847377525
01077,-26.54123784534977,-3.812503293707841,76.81476546337939,156.0,-182.54123784534977,232.8147654633794
01079,-9.82425699468613,2.876323219434595,21.767140975977135,48.0,-57.82425699468613,69.76714097597713
01081,-123.69046912724626,-10.594154557649848,22.419924311872197,220.5,-344.1904691272463,242.9199243118722
01083,-37.100460790710606,-18.319079350733986,124.89353877462833,244.5,-281.6004607907106,369.3935387746283
01085,-3.072592413980986,-1.5002903317931158,1.0,7.5,-10.572592413980987,8.5
01087,-10.53719517890735,-1.892484292820491,1.2770484417410901,19.5,-30.03719517890735,20.77704844174109
01089,-208.2056250038034,-42.30890353183811,276.80930049407664,729.0,-937.2056250038033,1005.8093004940766
01091,-8.918716357137194,-0.08260412420058061,9.234592732634406,28.5,-37.41871635713719,37.734592732634404
01093,-22.412155660443187,-9.496664220260648,2.8434220728946715,39.0,-61.41215566044319,41.84342207289467
01095,-26.635839374759243,-7.082425505572865,1.0,42.0,-68.63583937475924,43.0
01097,-195.1792922156519,-62.018836897799304,542.8462250597009,1108.5,-1303.679292215652,1651.3462250597008
01099,-10.950075296769949,-0.6675410416959772,13.743232379442736,37.5,-48.45007529676995,51.24323237944274
01101,-104.75268137449373,-46.141530969819954,0.8284434549617271,159.0,-263.7526813744937,159.82844345496173
01103,-66.7271451336628,-14.781923137694744,94.3727628463456,243.0,-309.7271451336628,337.3727628463456
01105,-5.268597589453675,-0.6675410416959772,23.51538418351229,45.0,-50.26859758945368,68.51538418351228
01107,-3.204197000140691,2.8581480678032016,15.442053615597862,30.0,-33.20419700014069,45.442053615597864
01109,-24.355684540542594,-6.124716255622568,4.969740629573016,45.0,-69.3556845405426,49.96974062957302
01111,-16.667277873002984,-4.3423707950695185,7.104389850241574,37.5,-54.16727787300299,44.604389850241574
01113,-37.51121970189791,-3.0623581278112844,24.4626552223678,94.5,-132.01121970189791,118.9626552223678
01115,-40.63182905585586,-6.874861421519126,70.40368824386147,168.0,-208.63182905585586,238.40368824386147
01117,-112.16767190268561,-28.42150714846555,218.74936528458915,498.0,-610.1676719026856,716.7493652845892
01119,-21.514945686884467,-2.9797540036107035,2.6204611891232568,37.5,-59.01494568688447,40.120461189123255
01121,-48.11902159979694,-14.589180181226723,131.16115450591795,271.5,-319.61902159979695,402.6611545059179
01123,-9.579268344461228,-4.508281559172208,1.0,16.5,-26.079268344461227,17.5
01125,-90.32851917631373,-25.806412397815368,261.89276756599287,529.5,-619.8285191763138,791.3927675659929
01127,-14.727415734122248,-4.899773004498053,68.20315964875755,126.0,-140.72741573412225,194.20315964875755
01129,-2.727916802154162,2.7963706035781533,16.89264096973032,30.0,-32.72791680215416,46.89264096973032
01131,-8.252516925059483,-1.748102704394859,4.8060144939304275,21.0,-29.25251692505948,25.806014493930427
01133,-14.115583202476728,-3.9434687859508104,31.92449768670211,70.5,-84.61558320247673,102.42449768670211
02000,-0.1762221316279053,-0.11013883226744081,1.0,3.0,-3.176222131627905,4.0
02013,-0.22027766453488162,-0.13767354033430101,1.0,3.0,-3.2202776645348816,4.0
02016,-0.3414303800290666,-0.16520824840116122,1.0,3.0,-3.341430380029067,4.0
02020,-19.230240113895185,-9.63714782340108,1.0,31.5,-50.730240113895185,32.5
02050,-0.9582078407267367,-0.4680900371366241,1.0,3.0,-3.958207840726737,4.0
02060,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
02063,-0.2753470806686025,-0.22027766453488162,1.0,3.0,-3.2753470806686025,4.0
02066,-0.11013883226744081,-0.11013883226744081,1.0,3.0,-3.110138832267441,4.0
02068,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
02070,-0.2753470806686025,-0.16520824840116122,1.0,3.0,-3.2753470806686025,4.0
02090,-4.526706006191825,-1.9549642727470733,1.0,9.0,-13.526706006191825,10.0
02100,-0.16520824840116122,-0.13767354033430101,1.0,3.0,-3.165208248401161,4.0
02105,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
02110,-1.508902002063938,-0.7985065339389461,1.0,4.5,-6.008902002063938,5.5
02122,-2.4891376092441604,-1.1289230307412694,1.0,6.0,-8.48913760924416,7.0
02130,-0.671846876831389,-0.35795120486918286,1.0,3.0,-3.671846876831389,4.0
02150,-0.8150273587790628,-0.550694161337205,1.0,3.0,-3.815027358779063,4.0
02164,-0.1762221316279053,-0.11013883226744081,1.0,3.0,-3.176222131627905,4.0
02170,-4.647858721686004,-1.9824989808139328,1.0,9.0,-13.647858721686003,10.0
02180,-1.3877492865697563,-0.8811106581395265,1.0,4.5,-5.887749286569756,5.5
02185,-0.6718468768313904,-0.35795120486918286,1.0,3.0,-3.6718468768313905,4.0
02188,-0.7489440594185979,-0.4956247452034841,1.0,3.0,-3.748944059418598,4.0
02195,-0.11013883226744081,-0.08260412420058061,1.0,3.0,-3.110138832267441,4.0
02198,-0.33041649680232243,-0.2753470806686025,1.0,3.0,-3.3304164968023224,4.0
02220,-0.4515692122965074,-0.3304164968023229,1.0,3.0,-3.4515692122965076,4.0
02230,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
02240,-0.25331931421511394,-0.16520824840116122,1.0,3.0,-3.2533193142151138,4.0
02261,-2.0550694161337204,-0.055069416133720406,1.9449305838662796,7.5,-9.55506941613372,9.44493058386628
