fips,population
72,3193694
1000.0,4903185
1001.0,55869
1003.0,223234
1005.0,24686
1007.0,22394
1009.0,57826
1011.0,10101
1013.0,19448
1015.0,113605
1017.0,33254
1019.0,26196
1021.0,44428
1023.0,12589
1025.0,23622
1027.0,13235
1029.0,14910
1031.0,52342
1033.0,55241
1035.0,12067
1037.0,10663
1039.0,37049
1041.0,13772
1043.0,83768
1045.0,49172
1047.0,37196
1049.0,71513
1051.0,81209
1053.0,36633
1055.0,102268
1057.0,16302
1059.0,31362
1061.0,26271
1063.0,8111
1065.0,14651
1067.0,17205
1069.0,105882
1071.0,51626
1073.0,658573
1075.0,13805
1077.0,92729
1079.0,32924
1081.0,164542
1083.0,98915
1085.0,9726
1087.0,18068
1089.0,372909
1091.0,18863
1093.0,29709
1095.0,96774
1097.0,413210
1099.0,20733
1101.0,226486
1103.0,119679
1105.0,8923
1107.0,19930
1109.0,33114
1111.0,22722
1113.0,57961
1115.0,89512
1117.0,217702
1119.0,12427
1121.0,79978
1123.0,40367
1125.0,209355
1127.0,63521
1129.0,16326
1131.0,10373
1133.0,23629
2000.0,731545
2013.0,3337
2016.0,5634
2020.0,288000
2050.0,18386
2060.0,836
2068.0,2097
2070.0,4916
2090.0,96849
2100.0,2530
2105.0,2148
2110.0,31974
2122.0,58708
2130.0,13901
2150.0,12998
2158.0,8314
2164.0,1592
2170.0,108317
2180.0,10004
2185.0,9832
2188.0,7621
2195.0,3266
2198.0,6203
2220.0,8493
2230.0,1183
2240.0,6893
2261.0,9202
2275.0,2502
2282.0,579
2290.0,5230
4000.0,7278717
4001.0,71887
4003.0,125922
4005.0,143476
4007.0,54018
4009.0,38837
4011.0,9498
4012.0,21108
4013.0,4485414
4015.0,212181
4017.0,110924
4019.0,1047279
4021.0,462789
4023.0,46498
4025.0,235099
4027.0,213787
5000.0,3017804
5001.0,17486
5003.0,19657
5005.0,41932
5007.0,279141
5009.0,37432
5011.0,10763
5013.0,5189
5015.0,28380
5017.0,10118
5019.0,22320
5021.0,14551
5023.0,24919
5025.0,7956
5027.0,23457
5029.0,20846
5031.0,110332
5033.0,63257
5035.0,47955
5037.0,16419
5039.0,7009
5041.0,11361
5043.0,18219
5045.0,126007
5047.0,17715
5049.0,12477
5051.0,99386
5053.0,18265
5055.0,45325
5057.0,21532
5059.0,33771
5061.0,13202
5063.0,37825
5065.0,13629
5067.0,16719
5069.0,66824
5071.0,26578
5073.0,6624
5075.0,16406
5077.0,8857
5079.0,13024
5081.0,12259
5083.0,21466
5085.0,73309
5087.0,16576
5089.0,16694
5091.0,43257
5093.0,40651
5095.0,6701
5097.0,8986
5099.0,8252
5101.0,7753
5103.0,23382
5105.0,10455
5107.0,17782
5109.0,10718
5111.0,23528
5113.0,19964
5115.0,64072
5117.0,8062
5119.0,391911
5121.0,17958
5123.0,24994
5125.0,122437
5127.0,10281
5129.0,7881
5131.0,127827
5133.0,17007
5135.0,17442
5137.0,12506
5139.0,38682
5141.0,16545
5143.0,239187
5145.0,78753
5147.0,6320
5149.0,21341
6000.0,39512223
6001.0,1671329
6003.0,1129
6005.0,39752
6007.0,219186
6009.0,45905
6011.0,21547
6013.0,1153526
6015.0,27812
6017.0,192843
6019.0,999101
6021.0,28393
6023.0,135558
6025.0,181215
6027.0,18039
6029.0,900202
6031.0,152940
6033.0,64386
6035.0,30573
6037.0,10039107
6039.0,157327
6041.0,258826
6043.0,17203
6045.0,86749
6047.0,277680
6049.0,8841
6051.0,14444
6053.0,434061
6055.0,137744
6057.0,99755
6059.0,3175692
6061.0,398329
6063.0,18807
6065.0,2470546
6067.0,1552058
6069.0,62808
6071.0,2180085
6073.0,3338330
6075.0,881549
6077.0,762148
6079.0,283111
6081.0,766573
6083.0,446499
6085.0,1927852
6087.0,273213
6089.0,180080
6091.0,3005
6093.0,43539
6095.0,447643
6097.0,494336
6099.0,550660
6101.0,96971
6103.0,65084
6105.0,12285
6107.0,466195
6109.0,54478
6111.0,846006
6113.0,220500
6115.0,78668
8000.0,5758736
8001.0,517421
8003.0,16233
8005.0,656590
8007.0,14029
8009.0,3581
8011.0,5577
8013.0,326196
8014.0,70465
8015.0,20356
8017.0,1831
8019.0,9700
8021.0,8205
8023.0,3887
8025.0,6061
8027.0,5068
8029.0,31162
8031.0,727211
8033.0,2055
8035.0,351154
8037.0,55127
8039.0,26729
8041.0,720403
8043.0,47839
8045.0,60061
8047.0,6243
8049.0,15734
8051.0,17462
8053.0,820
8055.0,6897
8057.0,1392
8059.0,582881
8061.0,1406
8063.0,7097
8065.0,8127
8067.0,56221
8069.0,356899
8071.0,14506
8073.0,5701
8075.0,22409
8077.0,154210
8079.0,769
8081.0,13283
8083.0,26183
8085.0,42758
8087.0,29068
8089.0,18278
8091.0,4952
8093.0,18845
8095.0,4265
8097.0,17767
8099.0,12172
8101.0,168424
8103.0,6324
8105.0,11267
8107.0,25638
8109.0,6824
8111.0,728
8113.0,8179
8115.0,2248
8117.0,31011
8119.0,25388
8121.0,4908
8123.0,324492
8125.0,10019
9000.0,3565287
9001.0,943332
9003.0,891720
9005.0,180333
9007.0,162436
9009.0,854757
9011.0,265206
9013.0,150721
9015.0,116782
10000.0,973764
10001.0,180786
10003.0,558753
10005.0,234225
11000.0,705749
11001.0,705749
12000.0,21477737
12001.0,269043
12003.0,29210
12005.0,174705
